Source Function,Target Function
renounceOwnership(),"deploy(uint256,bytes)"
pause(),"deploy(uint256,bytes)"
transferOwnership(address),"deploy(uint256,bytes)"
unpause(),"deploy(uint256,bytes)"
"deploy(uint256,bytes)",renounceOwnership()
pause(),renounceOwnership()
transferOwnership(address),renounceOwnership()
unpause(),renounceOwnership()
"deploy(uint256,bytes)",pause()
renounceOwnership(),pause()
transferOwnership(address),pause()
unpause(),pause()
"deploy(uint256,bytes)","setDeployer(uint256,address)"
renounceOwnership(),"setDeployer(uint256,address)"
pause(),"setDeployer(uint256,address)"
transferOwnership(address),"setDeployer(uint256,address)"
unpause(),"setDeployer(uint256,address)"
"deploy(uint256,bytes)",transferOwnership(address)
renounceOwnership(),transferOwnership(address)
pause(),transferOwnership(address)
unpause(),transferOwnership(address)
"deploy(uint256,bytes)",unpause()
renounceOwnership(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
