Source Function,Target Function
setToken(address),setEnd(uint256)
setAdvisorsTokensWallet(address),setEnd(uint256)
setFoundersTokensWallet(address),setEnd(uint256)
lockChanges(),setEnd(uint256)
setBountyTokensPercent(uint256),setEnd(uint256)
setAdvisorsTokensPercent(uint256),setEnd(uint256)
setDevTokensWallet(address),setEnd(uint256)
setDirectMintAgent(address),setEnd(uint256)
setPrice(uint256),setEnd(uint256)
setMinInvestedLimit(uint256),setEnd(uint256)
setFoundersTokensPercent(uint256),setEnd(uint256)
"addBonus(uint256,uint256)",setEnd(uint256)
setWallet(address),setEnd(uint256)
setHardcap(uint256),setEnd(uint256)
transferOwnership(address),setEnd(uint256)
setDevTokensPercent(uint256),setEnd(uint256)
setStart(uint256),setEnd(uint256)
setBountyTokensWallet(address),setEnd(uint256)
