Source Function,Target Function
changeOwnerShip(address),destroyContract()
"transferMintTokens(address,uint256)",destroyContract()
releaseMintTokens(),destroyContract()
changeRate(uint256),destroyContract()
startMinting(bool),destroyContract()
changeOwnerShip(address),"manageOperable(address,bool)"
"transferMintTokens(address,uint256)","manageOperable(address,bool)"
releaseMintTokens(),"manageOperable(address,bool)"
changeRate(uint256),"manageOperable(address,bool)"
startMinting(bool),"manageOperable(address,bool)"
changeOwnerShip(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"transferMintTokens(address,uint256)","transferFrom(address,address,uint256)"
"manageOperable(address,bool)","transferFrom(address,address,uint256)"
releaseMintTokens(),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"moveMintTokens(address,address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
changeOwnerShip(address),"moveMintTokens(address,address,uint256)"
"approve(address,uint256)","moveMintTokens(address,address,uint256)"
"transferMintTokens(address,uint256)","moveMintTokens(address,address,uint256)"
"manageOperable(address,bool)","moveMintTokens(address,address,uint256)"
"transferFrom(address,address,uint256)","moveMintTokens(address,address,uint256)"
releaseMintTokens(),"moveMintTokens(address,address,uint256)"
"decreaseApproval(address,uint256)","moveMintTokens(address,address,uint256)"
"transfer(address,uint256)","moveMintTokens(address,address,uint256)"
"increaseApproval(address,uint256)","moveMintTokens(address,address,uint256)"
changeOwnerShip(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferMintTokens(address,uint256)","transfer(address,uint256)"
"manageOperable(address,bool)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
releaseMintTokens(),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"moveMintTokens(address,address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
