Source Function,Target Function
"setCanAcceptTokens(address,bool)",setAltFundAddress(address)
"setAdministrator(address,bool)",setAltFundAddress(address)
buyTokensfor82(),setAltFundAddress(address)
reinvest(),setAltFundAddress(address)
setAltFundAddress(address),calculateEthereumReceived(uint256)
set82Mode(bool),calculateEthereumReceived(uint256)
setStakingRequirement(uint256),calculateEthereumReceived(uint256)
payFund(),calculateEthereumReceived(uint256)
"setFeeRates(uint8,uint8,uint8)",calculateEthereumReceived(uint256)
setContractActive(bool),calculateEthereumReceived(uint256)
buyTokensfor82(),calculateEthereumReceived(uint256)
setSymbol(string),calculateEthereumReceived(uint256)
setName(string),calculateEthereumReceived(uint256)
setBondFundAddress(address),calculateEthereumReceived(uint256)
setBool82(bool),calculateEthereumReceived(uint256)
"setAdministrator(address,bool)","setCanAcceptTokens(address,bool)"
buyTokensfor82(),"setCanAcceptTokens(address,bool)"
reinvest(),"setCanAcceptTokens(address,bool)"
"setCanAcceptTokens(address,bool)","transferAndCall(address,uint256,bytes)"
"setAdministrator(address,bool)","transferAndCall(address,uint256,bytes)"
buyTokensfor82(),"transferAndCall(address,uint256,bytes)"
reinvest(),"transferAndCall(address,uint256,bytes)"
"setCanAcceptTokens(address,bool)",set82Mode(bool)
"setAdministrator(address,bool)",set82Mode(bool)
buyTokensfor82(),set82Mode(bool)
reinvest(),set82Mode(bool)
"setCanAcceptTokens(address,bool)","transferAndCallExpanded(address,uint256,bytes,address,address)"
"setAdministrator(address,bool)","transferAndCallExpanded(address,uint256,bytes,address,address)"
buyTokensfor82(),"transferAndCallExpanded(address,uint256,bytes,address,address)"
reinvest(),"transferAndCallExpanded(address,uint256,bytes,address,address)"
"setCanAcceptTokens(address,bool)",setStakingRequirement(uint256)
"setAdministrator(address,bool)",setStakingRequirement(uint256)
buyTokensfor82(),setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
"setCanAcceptTokens(address,bool)","setAdministrator(address,bool)"
buyTokensfor82(),"setAdministrator(address,bool)"
reinvest(),"setAdministrator(address,bool)"
"setCanAcceptTokens(address,bool)",payFund()
"setAdministrator(address,bool)",payFund()
buyTokensfor82(),payFund()
reinvest(),payFund()
"setCanAcceptTokens(address,bool)","setFeeRates(uint8,uint8,uint8)"
"setAdministrator(address,bool)","setFeeRates(uint8,uint8,uint8)"
buyTokensfor82(),"setFeeRates(uint8,uint8,uint8)"
reinvest(),"setFeeRates(uint8,uint8,uint8)"
"setCanAcceptTokens(address,bool)",setContractActive(bool)
"setAdministrator(address,bool)",setContractActive(bool)
buyTokensfor82(),setContractActive(bool)
reinvest(),setContractActive(bool)
"setCanAcceptTokens(address,bool)",buyTokensfor82()
"setAdministrator(address,bool)",buyTokensfor82()
reinvest(),buyTokensfor82()
"setCanAcceptTokens(address,bool)",setSymbol(string)
"setAdministrator(address,bool)",setSymbol(string)
buyTokensfor82(),setSymbol(string)
reinvest(),setSymbol(string)
"setCanAcceptTokens(address,bool)",setName(string)
"setAdministrator(address,bool)",setName(string)
buyTokensfor82(),setName(string)
reinvest(),setName(string)
"setCanAcceptTokens(address,bool)",setBondFundAddress(address)
"setAdministrator(address,bool)",setBondFundAddress(address)
buyTokensfor82(),setBondFundAddress(address)
reinvest(),setBondFundAddress(address)
"setCanAcceptTokens(address,bool)",setBool82(bool)
"setAdministrator(address,bool)",setBool82(bool)
buyTokensfor82(),setBool82(bool)
reinvest(),setBool82(bool)
