Source Function,Target Function
contribute(),"approve(address,uint256)"
"_setTokenURI(uint256,string)","approve(address,uint256)"
"buyToken(uint256,string,string,string,string,string)","approve(address,uint256)"
fallback(),"approve(address,uint256)"
"setApprovalForAll(address,bool)","approve(address,uint256)"
contribute(),ownerOf(uint256)
"_setTokenURI(uint256,string)",ownerOf(uint256)
"approve(address,uint256)",ownerOf(uint256)
"buyToken(uint256,string,string,string,string,string)",ownerOf(uint256)
fallback(),ownerOf(uint256)
"setApprovalForAll(address,bool)",ownerOf(uint256)
