Source Function,Target Function
dissolveTokenGroup(uint256),distributeSaleProceeds(uint256)
contributeToTokenGroup(uint256),distributeSaleProceeds(uint256)
leaveTokenGroup(uint256),distributeSaleProceeds(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),distributeSaleProceeds(uint256)
dissolveTokenGroup(uint256),getTokenGroupTotalBalance(uint256)
contributeToTokenGroup(uint256),getTokenGroupTotalBalance(uint256)
leaveTokenGroup(uint256),getTokenGroupTotalBalance(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),getTokenGroupTotalBalance(uint256)
dissolveTokenGroup(uint256),getSelfContributionBalanceForTokenGroup(uint256)
contributeToTokenGroup(uint256),getSelfContributionBalanceForTokenGroup(uint256)
leaveTokenGroup(uint256),getSelfContributionBalanceForTokenGroup(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),getSelfContributionBalanceForTokenGroup(uint256)
contributeToTokenGroup(uint256),dissolveTokenGroup(uint256)
leaveTokenGroup(uint256),dissolveTokenGroup(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),dissolveTokenGroup(uint256)
dissolveTokenGroup(uint256),"getContributionBalanceForTokenGroup(uint256,address)"
contributeToTokenGroup(uint256),"getContributionBalanceForTokenGroup(uint256,address)"
leaveTokenGroup(uint256),"getContributionBalanceForTokenGroup(uint256,address)"
leaveTokenGroupAndWithdrawBalance(uint256),"getContributionBalanceForTokenGroup(uint256,address)"
dissolveTokenGroup(uint256),contributeToTokenGroup(uint256)
leaveTokenGroup(uint256),contributeToTokenGroup(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),contributeToTokenGroup(uint256)
dissolveTokenGroup(uint256),withdrawBalance()
contributeToTokenGroup(uint256),withdrawBalance()
leaveTokenGroup(uint256),withdrawBalance()
leaveTokenGroupAndWithdrawBalance(uint256),withdrawBalance()
dissolveTokenGroup(uint256),leaveTokenGroup(uint256)
contributeToTokenGroup(uint256),leaveTokenGroup(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),leaveTokenGroup(uint256)
dissolveTokenGroup(uint256),getContributorsInTokenGroupCount(uint256)
contributeToTokenGroup(uint256),getContributorsInTokenGroupCount(uint256)
leaveTokenGroup(uint256),getContributorsInTokenGroupCount(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),getContributorsInTokenGroupCount(uint256)
dissolveTokenGroup(uint256),getContributorsInTokenGroup(uint256)
contributeToTokenGroup(uint256),getContributorsInTokenGroup(uint256)
leaveTokenGroup(uint256),getContributorsInTokenGroup(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),getContributorsInTokenGroup(uint256)
dissolveTokenGroup(uint256),"transferToken(uint256,address)"
contributeToTokenGroup(uint256),"transferToken(uint256,address)"
leaveTokenGroup(uint256),"transferToken(uint256,address)"
leaveTokenGroupAndWithdrawBalance(uint256),"transferToken(uint256,address)"
dissolveTokenGroup(uint256),leaveTokenGroupAndWithdrawBalance(uint256)
contributeToTokenGroup(uint256),leaveTokenGroupAndWithdrawBalance(uint256)
leaveTokenGroup(uint256),leaveTokenGroupAndWithdrawBalance(uint256)
dissolveTokenGroup(uint256),getWithdrawableBalance()
contributeToTokenGroup(uint256),getWithdrawableBalance()
leaveTokenGroup(uint256),getWithdrawableBalance()
leaveTokenGroupAndWithdrawBalance(uint256),getWithdrawableBalance()
dissolveTokenGroup(uint256),getSelfGroupsContributedTo()
contributeToTokenGroup(uint256),getSelfGroupsContributedTo()
leaveTokenGroup(uint256),getSelfGroupsContributedTo()
leaveTokenGroupAndWithdrawBalance(uint256),getSelfGroupsContributedTo()
dissolveTokenGroup(uint256),getGroupsContributedTo(address)
contributeToTokenGroup(uint256),getGroupsContributedTo(address)
leaveTokenGroup(uint256),getGroupsContributedTo(address)
leaveTokenGroupAndWithdrawBalance(uint256),getGroupsContributedTo(address)
dissolveTokenGroup(uint256),activatePurchase(uint256)
contributeToTokenGroup(uint256),activatePurchase(uint256)
leaveTokenGroup(uint256),activatePurchase(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),activatePurchase(uint256)
dissolveTokenGroup(uint256),getGroupPurchasedPrice(uint256)
contributeToTokenGroup(uint256),getGroupPurchasedPrice(uint256)
leaveTokenGroup(uint256),getGroupPurchasedPrice(uint256)
leaveTokenGroupAndWithdrawBalance(uint256),getGroupPurchasedPrice(uint256)
dissolveTokenGroup(uint256),"distributeCustomSaleProceeds(uint256,uint256)"
contributeToTokenGroup(uint256),"distributeCustomSaleProceeds(uint256,uint256)"
leaveTokenGroup(uint256),"distributeCustomSaleProceeds(uint256,uint256)"
leaveTokenGroupAndWithdrawBalance(uint256),"distributeCustomSaleProceeds(uint256,uint256)"
