Source Function,Target Function
"transferFrom(address,address,uint256)","approve(address,uint256)"
"transactionReplay(address,uint256)","approve(address,uint256)"
tokenFactory(uint256),"approve(address,uint256)"
tokenBurner(uint256),"approve(address,uint256)"
"transfer(address,uint256)","approve(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"transactionReplay(address,uint256)","transferFrom(address,address,uint256)"
tokenFactory(uint256),"transferFrom(address,address,uint256)"
tokenBurner(uint256),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",tokenBurner(uint256)
"transferFrom(address,address,uint256)",tokenBurner(uint256)
"transactionReplay(address,uint256)",tokenBurner(uint256)
tokenFactory(uint256),tokenBurner(uint256)
"transfer(address,uint256)",tokenBurner(uint256)
