Source Function,Target Function
"breedWithAuto(uint256,uint256)","bidOnSiringAuction(uint256,uint256)"
giveBirth(uint256),"bidOnSiringAuction(uint256,uint256)"
setVariationAddress(address),"bidOnSiringAuction(uint256,uint256)"
setSiringAuctionAddress(address),"bidOnSiringAuction(uint256,uint256)"
setGeneScienceAddress(address),"bidOnSiringAuction(uint256,uint256)"
setCEO(address),"bidOnSiringAuction(uint256,uint256)"
setLotteryAddress(address),"bidOnSiringAuction(uint256,uint256)"
setCOO(address),"bidOnSiringAuction(uint256,uint256)"
unpause(),"bidOnSiringAuction(uint256,uint256)"
setAutoBirthFee(uint256),"bidOnSiringAuction(uint256,uint256)"
setCFO(address),"bidOnSiringAuction(uint256,uint256)"
setSecondsPerBlock(uint256),"bidOnSiringAuction(uint256,uint256)"
setSaleAuctionAddress(address),"bidOnSiringAuction(uint256,uint256)"
setNewAddress(address),"bidOnSiringAuction(uint256,uint256)"
pause(),"bidOnSiringAuction(uint256,uint256)"
setGen0Profit(uint256),"bidOnSiringAuction(uint256,uint256)"
createGen0Dog(uint256),"bidOnSiringAuction(uint256,uint256)"
"approve(address,uint256)","bidOnSiringAuction(uint256,uint256)"
"transferFrom(address,address,uint256)","bidOnSiringAuction(uint256,uint256)"
"createSaleAuction(uint256,uint256,uint256,uint256)","bidOnSiringAuction(uint256,uint256)"
"createSiringAuction(uint256,uint256,uint256,uint256)","bidOnSiringAuction(uint256,uint256)"
"approveSiring(address,uint256)","bidOnSiringAuction(uint256,uint256)"
registerLottery(uint256),"bidOnSiringAuction(uint256,uint256)"
"transfer(address,uint256)","bidOnSiringAuction(uint256,uint256)"
bidOnSaleAuction(uint256),"bidOnSiringAuction(uint256,uint256)"
"bidOnSiringAuction(uint256,uint256)","breedWithAuto(uint256,uint256)"
giveBirth(uint256),"breedWithAuto(uint256,uint256)"
setVariationAddress(address),"breedWithAuto(uint256,uint256)"
setSiringAuctionAddress(address),"breedWithAuto(uint256,uint256)"
setGeneScienceAddress(address),"breedWithAuto(uint256,uint256)"
setCEO(address),"breedWithAuto(uint256,uint256)"
