Source Function,Target Function
"editConnection(address,address,bytes32,uint8,bool,bytes32,uint256)",createUser()
"editEntity(address,bool,bytes32)",createUser()
"transferEntityOwnerPush(address,address)",createUser()
createVirtualEntity(),createUser()
transferEntityOwnerPull(address),createUser()
"removeConnection(address,address,bytes32)",createUser()
"createUserAndConnection(address,bytes32,uint8)",createUser()
"createVirtualEntityAndConnection(address,bytes32,uint8)",createUser()
"editConnection(address,address,bytes32,uint8,bool,bytes32,uint256)",createVirtualEntity()
"editEntity(address,bool,bytes32)",createVirtualEntity()
createUser(),createVirtualEntity()
"transferEntityOwnerPush(address,address)",createVirtualEntity()
transferEntityOwnerPull(address),createVirtualEntity()
"removeConnection(address,address,bytes32)",createVirtualEntity()
"createUserAndConnection(address,bytes32,uint8)",createVirtualEntity()
"createVirtualEntityAndConnection(address,bytes32,uint8)",createVirtualEntity()
"editConnection(address,address,bytes32,uint8,bool,bytes32,uint256)",transferEntityOwnerPull(address)
"editEntity(address,bool,bytes32)",transferEntityOwnerPull(address)
createUser(),transferEntityOwnerPull(address)
"transferEntityOwnerPush(address,address)",transferEntityOwnerPull(address)
createVirtualEntity(),transferEntityOwnerPull(address)
"removeConnection(address,address,bytes32)",transferEntityOwnerPull(address)
"createUserAndConnection(address,bytes32,uint8)",transferEntityOwnerPull(address)
"createVirtualEntityAndConnection(address,bytes32,uint8)",transferEntityOwnerPull(address)
"editConnection(address,address,bytes32,uint8,bool,bytes32,uint256)","createUserAndConnection(address,bytes32,uint8)"
"editEntity(address,bool,bytes32)","createUserAndConnection(address,bytes32,uint8)"
createUser(),"createUserAndConnection(address,bytes32,uint8)"
"transferEntityOwnerPush(address,address)","createUserAndConnection(address,bytes32,uint8)"
createVirtualEntity(),"createUserAndConnection(address,bytes32,uint8)"
transferEntityOwnerPull(address),"createUserAndConnection(address,bytes32,uint8)"
"removeConnection(address,address,bytes32)","createUserAndConnection(address,bytes32,uint8)"
"createVirtualEntityAndConnection(address,bytes32,uint8)","createUserAndConnection(address,bytes32,uint8)"
"editConnection(address,address,bytes32,uint8,bool,bytes32,uint256)","createVirtualEntityAndConnection(address,bytes32,uint8)"
"editEntity(address,bool,bytes32)","createVirtualEntityAndConnection(address,bytes32,uint8)"
createUser(),"createVirtualEntityAndConnection(address,bytes32,uint8)"
"transferEntityOwnerPush(address,address)","createVirtualEntityAndConnection(address,bytes32,uint8)"
createVirtualEntity(),"createVirtualEntityAndConnection(address,bytes32,uint8)"
transferEntityOwnerPull(address),"createVirtualEntityAndConnection(address,bytes32,uint8)"
"removeConnection(address,address,bytes32)","createVirtualEntityAndConnection(address,bytes32,uint8)"
"createUserAndConnection(address,bytes32,uint8)","createVirtualEntityAndConnection(address,bytes32,uint8)"
