Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
supplyBurn(uint256),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"adminRemoveRole(address,string)","transferFrom(address,address,uint256)"
"hodlerTransfer(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"adminAddRole(address,string)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
supplyBurn(uint256),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"adminRemoveRole(address,string)",burn(uint256)
"hodlerTransfer(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"adminAddRole(address,string)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
supplyBurn(uint256),"transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"adminRemoveRole(address,string)","transfer(address,uint256)"
"hodlerTransfer(address,uint256)","transfer(address,uint256)"
"adminAddRole(address,string)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
