Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
unFrozen(),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",unFrozen()
"transferFrom(address,address,uint256)",unFrozen()
"decreaseApproval(address,uint256)",unFrozen()
"transfer(address,uint256)",unFrozen()
"increaseApproval(address,uint256)",unFrozen()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
unFrozen(),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
