Source Function,Target Function
cancelOrders(uint256[]),"takeOrders(uint256[],uint256[])"
"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])","takeOrders(uint256[],uint256[])"
"takeOrder(uint256,uint256)","takeOrders(uint256[],uint256[])"
cancelOrder(uint256),"takeOrders(uint256[],uint256[])"
"makeOrder(uint256,uint256,address,address,uint256,uint256)","takeOrders(uint256[],uint256[])"
"takeOrders(uint256[],uint256[])",cancelOrders(uint256[])
"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])",cancelOrders(uint256[])
"takeOrder(uint256,uint256)",cancelOrders(uint256[])
cancelOrder(uint256),cancelOrders(uint256[])
"makeOrder(uint256,uint256,address,address,uint256,uint256)",cancelOrders(uint256[])
"takeOrders(uint256[],uint256[])","makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])"
cancelOrders(uint256[]),"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])"
"takeOrder(uint256,uint256)","makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])"
cancelOrder(uint256),"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])"
"makeOrder(uint256,uint256,address,address,uint256,uint256)","makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])"
"takeOrders(uint256[],uint256[])","takeOrder(uint256,uint256)"
cancelOrders(uint256[]),"takeOrder(uint256,uint256)"
"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])","takeOrder(uint256,uint256)"
cancelOrder(uint256),"takeOrder(uint256,uint256)"
"makeOrder(uint256,uint256,address,address,uint256,uint256)","takeOrder(uint256,uint256)"
"takeOrders(uint256[],uint256[])",cancelOrder(uint256)
cancelOrders(uint256[]),cancelOrder(uint256)
"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])",cancelOrder(uint256)
"takeOrder(uint256,uint256)",cancelOrder(uint256)
"makeOrder(uint256,uint256,address,address,uint256,uint256)",cancelOrder(uint256)
"takeOrders(uint256[],uint256[])","makeOrder(uint256,uint256,address,address,uint256,uint256)"
cancelOrders(uint256[]),"makeOrder(uint256,uint256,address,address,uint256,uint256)"
"makeOrders(uint256[],uint256[],address[],address[],uint256[],uint256[])","makeOrder(uint256,uint256,address,address,uint256,uint256)"
"takeOrder(uint256,uint256)","makeOrder(uint256,uint256,address,address,uint256,uint256)"
cancelOrder(uint256),"makeOrder(uint256,uint256,address,address,uint256,uint256)"
