Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"release(uint256,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
claimOwnership(),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unfreeze(),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"release(uint256,uint256)",burn(uint256)
claimOwnership(),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
unfreeze(),burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
transferOperator(address),claimOwnership()
"release(uint256,uint256)",claimOwnership()
burn(uint256),claimOwnership()
unfreeze(),claimOwnership()
transferOwnership(address),claimOwnership()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"release(uint256,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
claimOwnership(),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
unfreeze(),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
