Source Function,Target Function
transferAdmin(address),renounceOwnership()
transferOwnership(address),renounceOwnership()
renounceOwnership(),transferAdmin(address)
transferOwnership(address),transferAdmin(address)
renounceOwnership(),"setLocked(address,bool)"
transferAdmin(address),"setLocked(address,bool)"
transferOwnership(address),"setLocked(address,bool)"
renounceOwnership(),"setPartialTransfers(address,bool)"
transferAdmin(address),"setPartialTransfers(address,bool)"
transferOwnership(address),"setPartialTransfers(address,bool)"
renounceOwnership(),transferOwnership(address)
transferAdmin(address),transferOwnership(address)
