Source Function,Target Function
changeFeeTakeMaker(uint256),setSuccessor(address)
"depositToken(address,uint256)",setSuccessor(address)
"depositTokenForUser(address,uint256,address)",setSuccessor(address)
changeFeeAccount(address),setSuccessor(address)
changeFeeTakeSenderFic(uint256),setSuccessor(address)
changeAdmin(address),setSuccessor(address)
changeManager(address),setSuccessor(address)
changeFeeTakeMakerFic(uint256),setSuccessor(address)
changeFeeTakeSender(uint256),setSuccessor(address)
"trade(address,uint256,address,uint256,uint256,uint256,address,uint8,bytes32,bytes32,uint256)",withdraw(uint256)
"order(address,uint256,address,uint256,uint256,uint256)",withdraw(uint256)
"cancelOrder(address,uint256,address,uint256,uint256,uint256,uint8,bytes32,bytes32)",withdraw(uint256)
"depositToken(address,uint256)",withdraw(uint256)
"depositTokenForUser(address,uint256,address)",withdraw(uint256)
"migrateFunds(address,address[])",withdraw(uint256)
depositForUser(address),withdraw(uint256)
"withdrawToken(address,uint256)",withdraw(uint256)
deposit(),withdraw(uint256)
setSuccessor(address),changeFeeAccount(address)
changeFeeTakeMaker(uint256),changeFeeAccount(address)
"depositToken(address,uint256)",changeFeeAccount(address)
"depositTokenForUser(address,uint256,address)",changeFeeAccount(address)
changeFeeTakeSenderFic(uint256),changeFeeAccount(address)
changeAdmin(address),changeFeeAccount(address)
changeManager(address),changeFeeAccount(address)
changeFeeTakeMakerFic(uint256),changeFeeAccount(address)
changeFeeTakeSender(uint256),changeFeeAccount(address)
setSuccessor(address),changeAdmin(address)
changeFeeTakeMaker(uint256),changeAdmin(address)
"depositToken(address,uint256)",changeAdmin(address)
"depositTokenForUser(address,uint256,address)",changeAdmin(address)
changeFeeAccount(address),changeAdmin(address)
changeFeeTakeSenderFic(uint256),changeAdmin(address)
changeManager(address),changeAdmin(address)
changeFeeTakeMakerFic(uint256),changeAdmin(address)
changeFeeTakeSender(uint256),changeAdmin(address)
"trade(address,uint256,address,uint256,uint256,uint256,address,uint8,bytes32,bytes32,uint256)","withdrawToken(address,uint256)"
"order(address,uint256,address,uint256,uint256,uint256)","withdrawToken(address,uint256)"
"cancelOrder(address,uint256,address,uint256,uint256,uint256,uint8,bytes32,bytes32)","withdrawToken(address,uint256)"
withdraw(uint256),"withdrawToken(address,uint256)"
"depositToken(address,uint256)","withdrawToken(address,uint256)"
"depositTokenForUser(address,uint256,address)","withdrawToken(address,uint256)"
"migrateFunds(address,address[])","withdrawToken(address,uint256)"
depositForUser(address),"withdrawToken(address,uint256)"
deposit(),"withdrawToken(address,uint256)"
