Source Function,Target Function
increaseCap(int256),"approve(address,uint256)"
unPauseBuy(),"approve(address,uint256)"
unpause(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
"updateTargetToken(address,uint16,uint16)","approve(address,uint256)"
pauseBuy(),"approve(address,uint256)"
projectFailed(uint16),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unPauseBuy(),increaseCap(int256)
unpause(),increaseCap(int256)
pause(),increaseCap(int256)
"updateTargetToken(address,uint16,uint16)",increaseCap(int256)
pauseBuy(),increaseCap(int256)
projectFailed(uint16),increaseCap(int256)
transferOwnership(address),increaseCap(int256)
increaseCap(int256),"transferFrom(address,address,uint256)"
unPauseBuy(),"transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
"updateTargetToken(address,uint16,uint16)","transferFrom(address,address,uint256)"
pauseBuy(),"transferFrom(address,address,uint256)"
projectFailed(uint16),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
increaseCap(int256),unPauseBuy()
unpause(),unPauseBuy()
pause(),unPauseBuy()
"updateTargetToken(address,uint16,uint16)",unPauseBuy()
pauseBuy(),unPauseBuy()
projectFailed(uint16),unPauseBuy()
transferOwnership(address),unPauseBuy()
increaseCap(int256),unpause()
unPauseBuy(),unpause()
pause(),unpause()
"updateTargetToken(address,uint16,uint16)",unpause()
pauseBuy(),unpause()
projectFailed(uint16),unpause()
transferOwnership(address),unpause()
increaseCap(int256),"decreaseApproval(address,uint256)"
unPauseBuy(),"decreaseApproval(address,uint256)"
unpause(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
"updateTargetToken(address,uint16,uint16)","decreaseApproval(address,uint256)"
pauseBuy(),"decreaseApproval(address,uint256)"
projectFailed(uint16),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
increaseCap(int256),destroy()
unPauseBuy(),destroy()
unpause(),destroy()
pause(),destroy()
"updateTargetToken(address,uint16,uint16)",destroy()
pauseBuy(),destroy()
projectFailed(uint16),destroy()
transferOwnership(address),destroy()
increaseCap(int256),pause()
unPauseBuy(),pause()
unpause(),pause()
"updateTargetToken(address,uint16,uint16)",pause()
pauseBuy(),pause()
projectFailed(uint16),pause()
transferOwnership(address),pause()
increaseCap(int256),"updateTargetToken(address,uint16,uint16)"
unPauseBuy(),"updateTargetToken(address,uint16,uint16)"
unpause(),"updateTargetToken(address,uint16,uint16)"
pause(),"updateTargetToken(address,uint16,uint16)"
pauseBuy(),"updateTargetToken(address,uint16,uint16)"
projectFailed(uint16),"updateTargetToken(address,uint16,uint16)"
transferOwnership(address),"updateTargetToken(address,uint16,uint16)"
increaseCap(int256),pauseBuy()
unPauseBuy(),pauseBuy()
unpause(),pauseBuy()
pause(),pauseBuy()
"updateTargetToken(address,uint16,uint16)",pauseBuy()
projectFailed(uint16),pauseBuy()
transferOwnership(address),pauseBuy()
increaseCap(int256),"transfer(address,uint256)"
unPauseBuy(),"transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
"updateTargetToken(address,uint16,uint16)","transfer(address,uint256)"
pauseBuy(),"transfer(address,uint256)"
projectFailed(uint16),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
increaseCap(int256),"increaseApproval(address,uint256)"
unPauseBuy(),"increaseApproval(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
"updateTargetToken(address,uint16,uint16)","increaseApproval(address,uint256)"
pauseBuy(),"increaseApproval(address,uint256)"
projectFailed(uint16),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
increaseCap(int256),projectFailed(uint16)
unPauseBuy(),projectFailed(uint16)
unpause(),projectFailed(uint16)
pause(),projectFailed(uint16)
"updateTargetToken(address,uint16,uint16)",projectFailed(uint16)
pauseBuy(),projectFailed(uint16)
transferOwnership(address),projectFailed(uint16)
increaseCap(int256),transferOwnership(address)
unPauseBuy(),transferOwnership(address)
unpause(),transferOwnership(address)
pause(),transferOwnership(address)
"updateTargetToken(address,uint16,uint16)",transferOwnership(address)
pauseBuy(),transferOwnership(address)
projectFailed(uint16),transferOwnership(address)
