Source Function,Target Function
commitDispute(uint256),withdrawStake(uint256)
"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)",withdrawStake(uint256)
finalizeTask(uint256),withdrawStake(uint256)
"commitVote(uint256,bytes32)",withdrawStake(uint256)
startDispute(uint256),withdrawStake(uint256)
"postTask(string,string,uint256,uint256)",withdrawStake(uint256)
"submitSolution(uint256,string)",withdrawStake(uint256)
applyForTask(uint256),withdrawStake(uint256)
addStake(uint256),withdrawStake(uint256)
"addStakeAD(uint256,address)",withdrawStake(uint256)
setMinTaskValue(uint256),withdrawStake(uint256)
setMigrating(bool),withdrawStake(uint256)
withdrawStake(uint256),"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
commitDispute(uint256),"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
finalizeTask(uint256),"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
"commitVote(uint256,bytes32)","revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
startDispute(uint256),"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
"postTask(string,string,uint256,uint256)","revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
"submitSolution(uint256,string)","revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
applyForTask(uint256),"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
addStake(uint256),"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
"addStakeAD(uint256,address)","revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)"
withdrawStake(uint256),finalizeTask(uint256)
setMinTaskValue(uint256),finalizeTask(uint256)
"postTask(string,string,uint256,uint256)",finalizeTask(uint256)
addStake(uint256),finalizeTask(uint256)
setMigrating(bool),finalizeTask(uint256)
"addStakeAD(uint256,address)",finalizeTask(uint256)
commitDispute(uint256),finalizeTask(uint256)
"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)",finalizeTask(uint256)
"commitVote(uint256,bytes32)",finalizeTask(uint256)
startDispute(uint256),finalizeTask(uint256)
"submitSolution(uint256,string)",finalizeTask(uint256)
applyForTask(uint256),finalizeTask(uint256)
withdrawStake(uint256),addStake(uint256)
commitDispute(uint256),addStake(uint256)
"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)",addStake(uint256)
finalizeTask(uint256),addStake(uint256)
"commitVote(uint256,bytes32)",addStake(uint256)
startDispute(uint256),addStake(uint256)
"postTask(string,string,uint256,uint256)",addStake(uint256)
"submitSolution(uint256,string)",addStake(uint256)
applyForTask(uint256),addStake(uint256)
"addStakeAD(uint256,address)",addStake(uint256)
setMinTaskValue(uint256),addStake(uint256)
setMigrating(bool),addStake(uint256)
withdrawStake(uint256),"addStakeAD(uint256,address)"
commitDispute(uint256),"addStakeAD(uint256,address)"
"revealVote(uint256,uint8,bytes32,bytes32,uint32,bytes32)","addStakeAD(uint256,address)"
finalizeTask(uint256),"addStakeAD(uint256,address)"
"commitVote(uint256,bytes32)","addStakeAD(uint256,address)"
startDispute(uint256),"addStakeAD(uint256,address)"
"postTask(string,string,uint256,uint256)","addStakeAD(uint256,address)"
"submitSolution(uint256,string)","addStakeAD(uint256,address)"
applyForTask(uint256),"addStakeAD(uint256,address)"
addStake(uint256),"addStakeAD(uint256,address)"
setMinTaskValue(uint256),"addStakeAD(uint256,address)"
setMigrating(bool),"addStakeAD(uint256,address)"
