Source Function,Target Function
setRaiseRatio(uint256),setMaxRaiseAmount(uint256)
setMaxWei(uint256),setMaxRaiseAmount(uint256)
setRaisedAmount(uint256),setMaxRaiseAmount(uint256)
setMinWei(uint256),setMaxRaiseAmount(uint256)
"generateToken(address,uint256)",setMaxRaiseAmount(uint256)
changeowner(address),setMaxRaiseAmount(uint256)
setExchangeFlag(bool),setMaxRaiseAmount(uint256)
setSymbol(string),setMaxRaiseAmount(uint256)
setName(string),setMaxRaiseAmount(uint256)
setMaxRaiseAmount(uint256),"freezeWithTimestamp(address,uint256)"
setRaiseRatio(uint256),"freezeWithTimestamp(address,uint256)"
setMaxWei(uint256),"freezeWithTimestamp(address,uint256)"
setRaisedAmount(uint256),"freezeWithTimestamp(address,uint256)"
setMinWei(uint256),"freezeWithTimestamp(address,uint256)"
"generateToken(address,uint256)","freezeWithTimestamp(address,uint256)"
changeowner(address),"freezeWithTimestamp(address,uint256)"
setExchangeFlag(bool),"freezeWithTimestamp(address,uint256)"
setSymbol(string),"freezeWithTimestamp(address,uint256)"
setName(string),"freezeWithTimestamp(address,uint256)"
setMaxRaiseAmount(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setRaiseRatio(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setMaxWei(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setRaisedAmount(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
setMinWei(uint256),"multiFreezeWithTimestamp(address[],uint256[])"
"generateToken(address,uint256)","multiFreezeWithTimestamp(address[],uint256[])"
changeowner(address),"multiFreezeWithTimestamp(address[],uint256[])"
setExchangeFlag(bool),"multiFreezeWithTimestamp(address[],uint256[])"
setSymbol(string),"multiFreezeWithTimestamp(address[],uint256[])"
setName(string),"multiFreezeWithTimestamp(address[],uint256[])"
setMaxRaiseAmount(uint256),setRaiseRatio(uint256)
setMaxWei(uint256),setRaiseRatio(uint256)
setRaisedAmount(uint256),setRaiseRatio(uint256)
setMinWei(uint256),setRaiseRatio(uint256)
"generateToken(address,uint256)",setRaiseRatio(uint256)
changeowner(address),setRaiseRatio(uint256)
setExchangeFlag(bool),setRaiseRatio(uint256)
setSymbol(string),setRaiseRatio(uint256)
setName(string),setRaiseRatio(uint256)
setMaxRaiseAmount(uint256),setMaxWei(uint256)
setRaiseRatio(uint256),setMaxWei(uint256)
setRaisedAmount(uint256),setMaxWei(uint256)
setMinWei(uint256),setMaxWei(uint256)
"generateToken(address,uint256)",setMaxWei(uint256)
changeowner(address),setMaxWei(uint256)
setExchangeFlag(bool),setMaxWei(uint256)
setSymbol(string),setMaxWei(uint256)
setName(string),setMaxWei(uint256)
setMaxRaiseAmount(uint256),setRaisedAmount(uint256)
setRaiseRatio(uint256),setRaisedAmount(uint256)
setMaxWei(uint256),setRaisedAmount(uint256)
setMinWei(uint256),setRaisedAmount(uint256)
"generateToken(address,uint256)",setRaisedAmount(uint256)
changeowner(address),setRaisedAmount(uint256)
setExchangeFlag(bool),setRaisedAmount(uint256)
setSymbol(string),setRaisedAmount(uint256)
setName(string),setRaisedAmount(uint256)
setMaxRaiseAmount(uint256),setMinWei(uint256)
setRaiseRatio(uint256),setMinWei(uint256)
setMaxWei(uint256),setMinWei(uint256)
setRaisedAmount(uint256),setMinWei(uint256)
"generateToken(address,uint256)",setMinWei(uint256)
changeowner(address),setMinWei(uint256)
setExchangeFlag(bool),setMinWei(uint256)
setSymbol(string),setMinWei(uint256)
setName(string),setMinWei(uint256)
setMaxRaiseAmount(uint256),"generateToken(address,uint256)"
setRaiseRatio(uint256),"generateToken(address,uint256)"
setMaxWei(uint256),"generateToken(address,uint256)"
setRaisedAmount(uint256),"generateToken(address,uint256)"
setMinWei(uint256),"generateToken(address,uint256)"
changeowner(address),"generateToken(address,uint256)"
setExchangeFlag(bool),"generateToken(address,uint256)"
setSymbol(string),"generateToken(address,uint256)"
setName(string),"generateToken(address,uint256)"
"freezeWithTimestamp(address,uint256)","multiTransfer(address[],uint256[])"
"multiFreezeWithTimestamp(address[],uint256[])","multiTransfer(address[],uint256[])"
"approve(address,uint256)","multiTransfer(address[],uint256[])"
"generateToken(address,uint256)","multiTransfer(address[],uint256[])"
"transferFrom(address,address,uint256)","multiTransfer(address[],uint256[])"
"transfer(address,uint256)","multiTransfer(address[],uint256[])"
"freeze(address,bool)","multiTransfer(address[],uint256[])"
"multiFreeze(address[],bool[])","multiTransfer(address[],uint256[])"
"freezeWithTimestamp(address,uint256)","transferFrom(address,address,uint256)"
"multiFreezeWithTimestamp(address[],uint256[])","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"generateToken(address,uint256)","transferFrom(address,address,uint256)"
"multiTransfer(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"freeze(address,bool)","transferFrom(address,address,uint256)"
"multiFreeze(address[],bool[])","transferFrom(address,address,uint256)"
setMaxRaiseAmount(uint256),withdraw(uint256)
setRaiseRatio(uint256),withdraw(uint256)
setMaxWei(uint256),withdraw(uint256)
