Source Function,Target Function
receiveOwnership(),"getAllowance(address,address)"
unpause(),"getAllowance(address,address)"
subTotalSupply(uint256),"getAllowance(address,address)"
pause(),"getAllowance(address,address)"
updateOperator(address),"getAllowance(address,address)"
addTotalSupply(uint256),"getAllowance(address,address)"
setTotalSupply(uint256),"getAllowance(address,address)"
receiveOwnership(),addBlackList(address)
unpause(),addBlackList(address)
subTotalSupply(uint256),addBlackList(address)
pause(),addBlackList(address)
updateOperator(address),addBlackList(address)
addTotalSupply(uint256),addBlackList(address)
setTotalSupply(uint256),addBlackList(address)
receiveOwnership(),getSymbol()
unpause(),getSymbol()
subTotalSupply(uint256),getSymbol()
pause(),getSymbol()
updateOperator(address),getSymbol()
addTotalSupply(uint256),getSymbol()
setTotalSupply(uint256),getSymbol()
receiveOwnership(),"addBalance(address,uint256)"
unpause(),"addBalance(address,uint256)"
subTotalSupply(uint256),"addBalance(address,uint256)"
pause(),"addBalance(address,uint256)"
updateOperator(address),"addBalance(address,uint256)"
addTotalSupply(uint256),"addBalance(address,uint256)"
setTotalSupply(uint256),"addBalance(address,uint256)"
receiveOwnership(),unpause()
subTotalSupply(uint256),unpause()
pause(),unpause()
updateOperator(address),unpause()
addTotalSupply(uint256),unpause()
setTotalSupply(uint256),unpause()
receiveOwnership(),"addAllowance(address,address,uint256)"
unpause(),"addAllowance(address,address,uint256)"
subTotalSupply(uint256),"addAllowance(address,address,uint256)"
pause(),"addAllowance(address,address,uint256)"
updateOperator(address),"addAllowance(address,address,uint256)"
addTotalSupply(uint256),"addAllowance(address,address,uint256)"
setTotalSupply(uint256),"addAllowance(address,address,uint256)"
receiveOwnership(),getPaused()
unpause(),getPaused()
subTotalSupply(uint256),getPaused()
pause(),getPaused()
updateOperator(address),getPaused()
addTotalSupply(uint256),getPaused()
setTotalSupply(uint256),getPaused()
receiveOwnership(),subTotalSupply(uint256)
unpause(),subTotalSupply(uint256)
pause(),subTotalSupply(uint256)
updateOperator(address),subTotalSupply(uint256)
addTotalSupply(uint256),subTotalSupply(uint256)
setTotalSupply(uint256),subTotalSupply(uint256)
receiveOwnership(),pause()
unpause(),pause()
subTotalSupply(uint256),pause()
updateOperator(address),pause()
addTotalSupply(uint256),pause()
setTotalSupply(uint256),pause()
receiveOwnership(),getTokenName()
unpause(),getTokenName()
subTotalSupply(uint256),getTokenName()
pause(),getTokenName()
updateOperator(address),getTokenName()
addTotalSupply(uint256),getTokenName()
setTotalSupply(uint256),getTokenName()
receiveOwnership(),"subAllowance(address,address,uint256)"
unpause(),"subAllowance(address,address,uint256)"
subTotalSupply(uint256),"subAllowance(address,address,uint256)"
pause(),"subAllowance(address,address,uint256)"
updateOperator(address),"subAllowance(address,address,uint256)"
addTotalSupply(uint256),"subAllowance(address,address,uint256)"
setTotalSupply(uint256),"subAllowance(address,address,uint256)"
receiveOwnership(),isBlackList(address)
unpause(),isBlackList(address)
subTotalSupply(uint256),isBlackList(address)
pause(),isBlackList(address)
updateOperator(address),isBlackList(address)
addTotalSupply(uint256),isBlackList(address)
