Source Function,Target Function
"approve(address,uint256)","transferICO(address,uint256)"
"transferFrom(address,address,uint256)","transferICO(address,uint256)"
banAddress(address),"transferICO(address,uint256)"
unbanAddress(address),"transferICO(address,uint256)"
"transfer(address,uint256)","transferICO(address,uint256)"
init(),"transferICO(address,uint256)"
transferOwnership(address),"transferICO(address,uint256)"
setICO(address),"transferICO(address,uint256)"
unblockTokens(),"transferICO(address,uint256)"
blockTokens(),"transferICO(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"transferICO(address,uint256)","transferFrom(address,address,uint256)"
banAddress(address),"transferFrom(address,address,uint256)"
unbanAddress(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
init(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferICO(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
banAddress(address),"transfer(address,uint256)"
unbanAddress(address),"transfer(address,uint256)"
init(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
setICO(address),"transfer(address,uint256)"
unblockTokens(),"transfer(address,uint256)"
blockTokens(),"transfer(address,uint256)"
