Source Function,Target Function
"mintTokens(uint256,address)",finalize()
Wolk(),finalize()
changeMintingAddress(address),finalize()
refund(),finalize()
unlock(),finalize()
createTokens(),finalize()
fairsale_protectionOFF(),finalize()
"approve(address,uint256)",unlock()
"mintTokens(uint256,address)",unlock()
Wolk(),unlock()
"transferFrom(address,address,uint256)",unlock()
deauthorize(address),unlock()
refund(),unlock()
"transfer(address,uint256)",unlock()
createTokens(),unlock()
authorize(address),unlock()
"settleFrom(address,address,uint256)",unlock()
