Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decLockAmount(address,uint256)","transferFrom(address,address,uint256)"
"addOperator(address,string)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"lockAmount(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
getLockInfo(address),"transferFrom(address,address,uint256)"
"transferToMany(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
removeOperator(address),"transferFrom(address,address,uint256)"
"lockAddr(address,string,uint256)","transferFrom(address,address,uint256)"
"transferFromOperator(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unlockAddr(address),"transferFrom(address,address,uint256)"
unpause(),"addOperator(address,string)"
"mint(address,uint256)","addOperator(address,string)"
burn(uint256),"addOperator(address,string)"
finishMinting(),"addOperator(address,string)"
pause(),"addOperator(address,string)"
changeOwner(address),"addOperator(address,string)"
removeOperator(address),"addOperator(address,string)"
"addOperator(address,string)",unpause()
"mint(address,uint256)",unpause()
burn(uint256),unpause()
finishMinting(),unpause()
pause(),unpause()
changeOwner(address),unpause()
removeOperator(address),unpause()
"addOperator(address,string)","mint(address,uint256)"
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
changeOwner(address),"mint(address,uint256)"
removeOperator(address),"mint(address,uint256)"
"addOperator(address,string)",burn(uint256)
unpause(),burn(uint256)
"mint(address,uint256)",burn(uint256)
finishMinting(),burn(uint256)
pause(),burn(uint256)
changeOwner(address),burn(uint256)
removeOperator(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"decLockAmount(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"lockAmount(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
getLockInfo(address),burn(uint256)
"transferToMany(address[],uint256[])",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"lockAddr(address,string,uint256)",burn(uint256)
"transferFromOperator(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
unlockAddr(address),burn(uint256)
"addOperator(address,string)",finishMinting()
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
burn(uint256),finishMinting()
pause(),finishMinting()
changeOwner(address),finishMinting()
removeOperator(address),finishMinting()
"addOperator(address,string)",pause()
unpause(),pause()
"mint(address,uint256)",pause()
burn(uint256),pause()
finishMinting(),pause()
changeOwner(address),pause()
removeOperator(address),pause()
"addOperator(address,string)",getOperatorName(address)
unpause(),getOperatorName(address)
"mint(address,uint256)",getOperatorName(address)
burn(uint256),getOperatorName(address)
finishMinting(),getOperatorName(address)
pause(),getOperatorName(address)
changeOwner(address),getOperatorName(address)
removeOperator(address),getOperatorName(address)
"addOperator(address,string)",changeOwner(address)
unpause(),changeOwner(address)
"mint(address,uint256)",changeOwner(address)
burn(uint256),changeOwner(address)
finishMinting(),changeOwner(address)
pause(),changeOwner(address)
removeOperator(address),changeOwner(address)
"approve(address,uint256)","transfer(address,uint256)"
"decLockAmount(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"addOperator(address,string)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"lockAmount(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
getLockInfo(address),"transfer(address,uint256)"
"transferToMany(address[],uint256[])","transfer(address,uint256)"
removeOperator(address),"transfer(address,uint256)"
"lockAddr(address,string,uint256)","transfer(address,uint256)"
"transferFromOperator(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
unlockAddr(address),"transfer(address,uint256)"
"addOperator(address,string)",removeOperator(address)
unpause(),removeOperator(address)
"mint(address,uint256)",removeOperator(address)
burn(uint256),removeOperator(address)
finishMinting(),removeOperator(address)
pause(),removeOperator(address)
changeOwner(address),removeOperator(address)
"addOperator(address,string)","lockAddr(address,string,uint256)"
unpause(),"lockAddr(address,string,uint256)"
"mint(address,uint256)","lockAddr(address,string,uint256)"
burn(uint256),"lockAddr(address,string,uint256)"
finishMinting(),"lockAddr(address,string,uint256)"
pause(),"lockAddr(address,string,uint256)"
changeOwner(address),"lockAddr(address,string,uint256)"
removeOperator(address),"lockAddr(address,string,uint256)"
"addOperator(address,string)",unlockAddr(address)
unpause(),unlockAddr(address)
"mint(address,uint256)",unlockAddr(address)
burn(uint256),unlockAddr(address)
finishMinting(),unlockAddr(address)
pause(),unlockAddr(address)
changeOwner(address),unlockAddr(address)
removeOperator(address),unlockAddr(address)
