Source Function,Target Function
acceptParityOwnership(),"changeWeiCostOfToken(uint256,uint256,uint256)"
transferOwnership(address),"changeWeiCostOfToken(uint256,uint256,uint256)"
increaseTotalSupply(uint256),"changeWeiCostOfToken(uint256,uint256,uint256)"
acceptOwnership(),"changeWeiCostOfToken(uint256,uint256,uint256)"
lockSupply(),"changeWeiCostOfToken(uint256,uint256,uint256)"
transferParityOwnership(address),"changeWeiCostOfToken(uint256,uint256,uint256)"
"openCrowdSale(uint256,uint256,uint256,uint256,uint256)","changeWeiCostOfToken(uint256,uint256,uint256)"
lockCrowdSale(),"changeWeiCostOfToken(uint256,uint256,uint256)"
acceptParityOwnership(),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
transferOwnership(address),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"changeWeiCostOfToken(uint256,uint256,uint256)","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
increaseTotalSupply(uint256),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
acceptOwnership(),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
lockSupply(),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
transferParityOwnership(address),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
lockCrowdSale(),"openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"crowdSaleApprove(address[],uint256[])","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"approve(address,uint256)","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"addOwed(address,uint256)","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"transferFrom(address,address,uint256)","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"batchTransfer(address[],uint256[])","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
"transfer(address,uint256)","openCrowdSale(uint256,uint256,uint256,uint256,uint256)"
acceptParityOwnership(),lockCrowdSale()
transferOwnership(address),lockCrowdSale()
"changeWeiCostOfToken(uint256,uint256,uint256)",lockCrowdSale()
increaseTotalSupply(uint256),lockCrowdSale()
acceptOwnership(),lockCrowdSale()
lockSupply(),lockCrowdSale()
transferParityOwnership(address),lockCrowdSale()
"openCrowdSale(uint256,uint256,uint256,uint256,uint256)",lockCrowdSale()
