Source Function,Target Function
burn(uint256),release(address)
upgrade(uint256),release(address)
setCrowdsale(address),release(address)
"sale(address,uint256)",release(address)
reject(address),release(address)
setUpgradeAgent(address),release(address)
transferOwnership(address),release(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
release(address),"transferFrom(address,address,uint256)"
"freeze(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
upgrade(uint256),"transferFrom(address,address,uint256)"
"sale(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
reject(address),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"freeze(address,uint256)"
upgrade(uint256),"freeze(address,uint256)"
setCrowdsale(address),"freeze(address,uint256)"
"sale(address,uint256)","freeze(address,uint256)"
reject(address),"freeze(address,uint256)"
setUpgradeAgent(address),"freeze(address,uint256)"
transferOwnership(address),"freeze(address,uint256)"
"approve(address,uint256)","freeze(address,uint256)"
release(address),"freeze(address,uint256)"
"transferFrom(address,address,uint256)","freeze(address,uint256)"
"decreaseApproval(address,uint256)","freeze(address,uint256)"
"transfer(address,uint256)","freeze(address,uint256)"
"increaseApproval(address,uint256)","freeze(address,uint256)"
upgrade(uint256),burn(uint256)
setCrowdsale(address),burn(uint256)
"sale(address,uint256)",burn(uint256)
reject(address),burn(uint256)
setUpgradeAgent(address),burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
release(address),burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"freeze(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)",upgrade(uint256)
release(address),upgrade(uint256)
"transferFrom(address,address,uint256)",upgrade(uint256)
"freeze(address,uint256)",upgrade(uint256)
burn(uint256),upgrade(uint256)
"sale(address,uint256)",upgrade(uint256)
"decreaseApproval(address,uint256)",upgrade(uint256)
"transfer(address,uint256)",upgrade(uint256)
reject(address),upgrade(uint256)
"increaseApproval(address,uint256)",upgrade(uint256)
burn(uint256),setCrowdsale(address)
upgrade(uint256),setCrowdsale(address)
"sale(address,uint256)",setCrowdsale(address)
reject(address),setCrowdsale(address)
setUpgradeAgent(address),setCrowdsale(address)
transferOwnership(address),setCrowdsale(address)
"approve(address,uint256)","transfer(address,uint256)"
release(address),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"freeze(address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
upgrade(uint256),"transfer(address,uint256)"
"sale(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
reject(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
burn(uint256),reject(address)
upgrade(uint256),reject(address)
setCrowdsale(address),reject(address)
"sale(address,uint256)",reject(address)
setUpgradeAgent(address),reject(address)
transferOwnership(address),reject(address)
burn(uint256),setUpgradeAgent(address)
upgrade(uint256),setUpgradeAgent(address)
setCrowdsale(address),setUpgradeAgent(address)
"sale(address,uint256)",setUpgradeAgent(address)
reject(address),setUpgradeAgent(address)
transferOwnership(address),setUpgradeAgent(address)
burn(uint256),transferOwnership(address)
upgrade(uint256),transferOwnership(address)
setCrowdsale(address),transferOwnership(address)
"sale(address,uint256)",transferOwnership(address)
reject(address),transferOwnership(address)
setUpgradeAgent(address),transferOwnership(address)
