Source Function,Target Function
unpause(),"approve(address,uint256)"
claimOwnership(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
fuse(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
claimOwnership(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
fuse(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
claimOwnership(),unpause()
pause(),unpause()
fuse(),unpause()
transferOwnership(address),unpause()
unpause(),claimOwnership()
pause(),claimOwnership()
fuse(),claimOwnership()
transferOwnership(address),claimOwnership()
unpause(),"decreaseApproval(address,uint256)"
claimOwnership(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
fuse(),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
unpause(),pause()
claimOwnership(),pause()
fuse(),pause()
transferOwnership(address),pause()
unpause(),"transfer(address,uint256)"
claimOwnership(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
fuse(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
unpause(),fuse()
claimOwnership(),fuse()
pause(),fuse()
transferOwnership(address),fuse()
unpause(),"increaseApproval(address,uint256)"
claimOwnership(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
fuse(),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
