Source Function,Target Function
"approve(address,uint256)","handleProductionIncrease(address,uint256)"
"transferFrom(address,address,uint256)","handleProductionIncrease(address,uint256)"
sellAllCookies(),"handleProductionIncrease(address,uint256)"
"handleProductionDecrease(address,uint256)","handleProductionIncrease(address,uint256)"
"transfer(address,uint256)","handleProductionIncrease(address,uint256)"
"transferFrom(address,address,uint256)",createProductionUnit5()
"handleProductionIncrease(address,uint256)",createProductionUnit5()
sellAllCookies(),createProductionUnit5()
"handleProductionDecrease(address,uint256)",createProductionUnit5()
"transfer(address,uint256)",createProductionUnit5()
"transferFrom(address,address,uint256)",createProductionUnit2()
"handleProductionIncrease(address,uint256)",createProductionUnit2()
sellAllCookies(),createProductionUnit2()
"handleProductionDecrease(address,uint256)",createProductionUnit2()
"transfer(address,uint256)",createProductionUnit2()
"approve(address,uint256)","handleProductionDecrease(address,uint256)"
"transferFrom(address,address,uint256)","handleProductionDecrease(address,uint256)"
"handleProductionIncrease(address,uint256)","handleProductionDecrease(address,uint256)"
sellAllCookies(),"handleProductionDecrease(address,uint256)"
"transfer(address,uint256)","handleProductionDecrease(address,uint256)"
"transferFrom(address,address,uint256)",createProductionUnit1()
"handleProductionIncrease(address,uint256)",createProductionUnit1()
sellAllCookies(),createProductionUnit1()
"handleProductionDecrease(address,uint256)",createProductionUnit1()
"transfer(address,uint256)",createProductionUnit1()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"handleProductionIncrease(address,uint256)","transfer(address,uint256)"
sellAllCookies(),"transfer(address,uint256)"
"handleProductionDecrease(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)",createProductionUnit4()
"handleProductionIncrease(address,uint256)",createProductionUnit4()
sellAllCookies(),createProductionUnit4()
"handleProductionDecrease(address,uint256)",createProductionUnit4()
"transfer(address,uint256)",createProductionUnit4()
"transferFrom(address,address,uint256)",createProductionUnit3()
"handleProductionIncrease(address,uint256)",createProductionUnit3()
sellAllCookies(),createProductionUnit3()
"handleProductionDecrease(address,uint256)",createProductionUnit3()
"transfer(address,uint256)",createProductionUnit3()
"transferFrom(address,address,uint256)",createProductionUnit7()
"handleProductionIncrease(address,uint256)",createProductionUnit7()
sellAllCookies(),createProductionUnit7()
"handleProductionDecrease(address,uint256)",createProductionUnit7()
"transfer(address,uint256)",createProductionUnit7()
"transferFrom(address,address,uint256)",createProductionUnit6()
"handleProductionIncrease(address,uint256)",createProductionUnit6()
sellAllCookies(),createProductionUnit6()
"handleProductionDecrease(address,uint256)",createProductionUnit6()
"transfer(address,uint256)",createProductionUnit6()
