Source Function,Target Function
transferOwnership(address),setUpgradeContract(address)
setBattleContract(address),setUpgradeContract(address)
claimOwnership(),setUpgradeContract(address)
setBattleFee(uint256),setUpgradeContract(address)
"setSpaceshipPrice(uint16,uint256)","buySpaceshipUpgrade(uint256,uint16,uint8)"
battleAdd(uint256),"buySpaceshipUpgrade(uint256,uint16,uint8)"
"approve(address,uint256)","buySpaceshipUpgrade(uint256,uint16,uint8)"
battleRemove(uint256),"buySpaceshipUpgrade(uint256,uint16,uint8)"
"sellSpaceship(uint256,uint256)","buySpaceshipUpgrade(uint256,uint16,uint8)"
"battle(uint256,uint256)","buySpaceshipUpgrade(uint256,uint16,uint8)"
cashOut(),"buySpaceshipUpgrade(uint256,uint16,uint8)"
transferOwnership(address),"setSpaceshipPrice(uint16,uint256)"
setBattleContract(address),"setSpaceshipPrice(uint16,uint256)"
claimOwnership(),"setSpaceshipPrice(uint16,uint256)"
setBattleFee(uint256),"setSpaceshipPrice(uint16,uint256)"
setBattleContract(address),transferOwnership(address)
claimOwnership(),transferOwnership(address)
setBattleFee(uint256),transferOwnership(address)
transferOwnership(address),destroyAndSend(address)
setBattleContract(address),destroyAndSend(address)
claimOwnership(),destroyAndSend(address)
setBattleFee(uint256),destroyAndSend(address)
"buySpaceshipUpgrade(uint256,uint16,uint8)",battleAdd(uint256)
"setSpaceshipPrice(uint16,uint256)",battleAdd(uint256)
"approve(address,uint256)",battleAdd(uint256)
battleRemove(uint256),battleAdd(uint256)
"sellSpaceship(uint256,uint256)",battleAdd(uint256)
"battle(uint256,uint256)",battleAdd(uint256)
cashOut(),battleAdd(uint256)
"buySpaceshipUpgrade(uint256,uint16,uint8)","approve(address,uint256)"
"setSpaceshipPrice(uint16,uint256)","approve(address,uint256)"
battleAdd(uint256),"approve(address,uint256)"
battleRemove(uint256),"approve(address,uint256)"
"sellSpaceship(uint256,uint256)","approve(address,uint256)"
"battle(uint256,uint256)","approve(address,uint256)"
cashOut(),"approve(address,uint256)"
transferOwnership(address),setBattleContract(address)
claimOwnership(),setBattleContract(address)
setBattleFee(uint256),setBattleContract(address)
transferOwnership(address),"newSpaceshipProduct(uint16,bytes2,bytes2,bytes2,bytes2,uint256)"
setBattleContract(address),"newSpaceshipProduct(uint16,bytes2,bytes2,bytes2,bytes2,uint256)"
claimOwnership(),"newSpaceshipProduct(uint16,bytes2,bytes2,bytes2,bytes2,uint256)"
setBattleFee(uint256),"newSpaceshipProduct(uint16,bytes2,bytes2,bytes2,bytes2,uint256)"
"buySpaceshipUpgrade(uint256,uint16,uint8)",battleRemove(uint256)
"setSpaceshipPrice(uint16,uint256)",battleRemove(uint256)
battleAdd(uint256),battleRemove(uint256)
"approve(address,uint256)",battleRemove(uint256)
"sellSpaceship(uint256,uint256)",battleRemove(uint256)
"battle(uint256,uint256)",battleRemove(uint256)
cashOut(),battleRemove(uint256)
"buySpaceshipUpgrade(uint256,uint16,uint8)","sellSpaceship(uint256,uint256)"
"setSpaceshipPrice(uint16,uint256)","sellSpaceship(uint256,uint256)"
battleAdd(uint256),"sellSpaceship(uint256,uint256)"
"approve(address,uint256)","sellSpaceship(uint256,uint256)"
battleRemove(uint256),"sellSpaceship(uint256,uint256)"
"battle(uint256,uint256)","sellSpaceship(uint256,uint256)"
cashOut(),"sellSpaceship(uint256,uint256)"
"buySpaceshipUpgrade(uint256,uint16,uint8)","battle(uint256,uint256)"
"setSpaceshipPrice(uint16,uint256)","battle(uint256,uint256)"
battleAdd(uint256),"battle(uint256,uint256)"
"approve(address,uint256)","battle(uint256,uint256)"
battleRemove(uint256),"battle(uint256,uint256)"
"sellSpaceship(uint256,uint256)","battle(uint256,uint256)"
cashOut(),"battle(uint256,uint256)"
transferOwnership(address),"newSpaceshipUpgrade(bytes1,uint8,uint256)"
