Source Function,Target Function
"addOwnerWithThreshold(address,uint256)","removeOwner(address,address,uint256)"
"setup(address[],uint256,address,bytes)","removeOwner(address,address,uint256)"
"isValidSignature(bytes,bytes)","removeOwner(address,address,uint256)"
enableModule(address),"removeOwner(address,address,uint256)"
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)","removeOwner(address,address,uint256)"
signMessage(bytes),"removeOwner(address,address,uint256)"
approveHash(bytes32),"removeOwner(address,address,uint256)"
"disableModule(address,address)","removeOwner(address,address,uint256)"
"swapOwner(address,address,address)","removeOwner(address,address,uint256)"
"removeOwner(address,address,uint256)","addOwnerWithThreshold(address,uint256)"
"setup(address[],uint256,address,bytes)","addOwnerWithThreshold(address,uint256)"
"isValidSignature(bytes,bytes)","addOwnerWithThreshold(address,uint256)"
enableModule(address),"addOwnerWithThreshold(address,uint256)"
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)","addOwnerWithThreshold(address,uint256)"
signMessage(bytes),"addOwnerWithThreshold(address,uint256)"
approveHash(bytes32),"addOwnerWithThreshold(address,uint256)"
"disableModule(address,address)","addOwnerWithThreshold(address,uint256)"
"swapOwner(address,address,address)","addOwnerWithThreshold(address,uint256)"
"removeOwner(address,address,uint256)","setup(address[],uint256,address,bytes)"
"addOwnerWithThreshold(address,uint256)","setup(address[],uint256,address,bytes)"
changeThreshold(uint256),"setup(address[],uint256,address,bytes)"
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)","setup(address[],uint256,address,bytes)"
changeMasterCopy(address),"setup(address[],uint256,address,bytes)"
"isValidSignature(bytes,bytes)","setup(address[],uint256,address,bytes)"
enableModule(address),"setup(address[],uint256,address,bytes)"
signMessage(bytes),"setup(address[],uint256,address,bytes)"
approveHash(bytes32),"setup(address[],uint256,address,bytes)"
"disableModule(address,address)","setup(address[],uint256,address,bytes)"
"swapOwner(address,address,address)","setup(address[],uint256,address,bytes)"
"removeOwner(address,address,uint256)","execTransactionFromModule(address,uint256,bytes,uint8)"
"addOwnerWithThreshold(address,uint256)","execTransactionFromModule(address,uint256,bytes,uint8)"
"setup(address[],uint256,address,bytes)","execTransactionFromModule(address,uint256,bytes,uint8)"
"isValidSignature(bytes,bytes)","execTransactionFromModule(address,uint256,bytes,uint8)"
enableModule(address),"execTransactionFromModule(address,uint256,bytes,uint8)"
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)","execTransactionFromModule(address,uint256,bytes,uint8)"
signMessage(bytes),"execTransactionFromModule(address,uint256,bytes,uint8)"
approveHash(bytes32),"execTransactionFromModule(address,uint256,bytes,uint8)"
"disableModule(address,address)","execTransactionFromModule(address,uint256,bytes,uint8)"
"swapOwner(address,address,address)","execTransactionFromModule(address,uint256,bytes,uint8)"
"removeOwner(address,address,uint256)",enableModule(address)
"addOwnerWithThreshold(address,uint256)",enableModule(address)
"setup(address[],uint256,address,bytes)",enableModule(address)
"isValidSignature(bytes,bytes)",enableModule(address)
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)",enableModule(address)
signMessage(bytes),enableModule(address)
approveHash(bytes32),enableModule(address)
"disableModule(address,address)",enableModule(address)
"swapOwner(address,address,address)",enableModule(address)
"removeOwner(address,address,uint256)",approveHash(bytes32)
"addOwnerWithThreshold(address,uint256)",approveHash(bytes32)
"setup(address[],uint256,address,bytes)",approveHash(bytes32)
"isValidSignature(bytes,bytes)",approveHash(bytes32)
enableModule(address),approveHash(bytes32)
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)",approveHash(bytes32)
signMessage(bytes),approveHash(bytes32)
"disableModule(address,address)",approveHash(bytes32)
"swapOwner(address,address,address)",approveHash(bytes32)
"removeOwner(address,address,uint256)","disableModule(address,address)"
"addOwnerWithThreshold(address,uint256)","disableModule(address,address)"
"setup(address[],uint256,address,bytes)","disableModule(address,address)"
"isValidSignature(bytes,bytes)","disableModule(address,address)"
enableModule(address),"disableModule(address,address)"
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)","disableModule(address,address)"
signMessage(bytes),"disableModule(address,address)"
approveHash(bytes32),"disableModule(address,address)"
"swapOwner(address,address,address)","disableModule(address,address)"
"removeOwner(address,address,uint256)","swapOwner(address,address,address)"
"addOwnerWithThreshold(address,uint256)","swapOwner(address,address,address)"
"setup(address[],uint256,address,bytes)","swapOwner(address,address,address)"
"isValidSignature(bytes,bytes)","swapOwner(address,address,address)"
enableModule(address),"swapOwner(address,address,address)"
"execTransaction(address,uint256,bytes,uint8,uint256,uint256,uint256,address,address,bytes)","swapOwner(address,address,address)"
signMessage(bytes),"swapOwner(address,address,address)"
approveHash(bytes32),"swapOwner(address,address,address)"
"disableModule(address,address)","swapOwner(address,address,address)"
