Source Function,Target Function
burn(uint256),createSaleTokensVault()
"approve(address,uint256)","transferFrom(address,address,uint256)"
createSaleTokensVault(),"transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
"vestTokens(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
createSaleTokensVault(),burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
"vestTokens(address,uint256)",burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
"transfer(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
createSaleTokensVault(),"vestTokens(address,uint256)"
burn(uint256),"vestTokens(address,uint256)"
"approve(address,uint256)","vestTokens(address,uint256)"
"transferFrom(address,address,uint256)","vestTokens(address,uint256)"
"decreaseApproval(address,uint256)","vestTokens(address,uint256)"
"transfer(address,uint256)","vestTokens(address,uint256)"
"increaseApproval(address,uint256)","vestTokens(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
createSaleTokensVault(),"transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
"vestTokens(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)",releaseableBalanceOf(address)
createSaleTokensVault(),releaseableBalanceOf(address)
"transferFrom(address,address,uint256)",releaseableBalanceOf(address)
burn(uint256),releaseableBalanceOf(address)
"vestTokens(address,uint256)",releaseableBalanceOf(address)
"decreaseApproval(address,uint256)",releaseableBalanceOf(address)
"transfer(address,uint256)",releaseableBalanceOf(address)
"increaseApproval(address,uint256)",releaseableBalanceOf(address)
