Source Function,Target Function
acceptOwnership(),"transferToBranch(address,uint256)"
setController(address),"transferToBranch(address,uint256)"
incrementLimitTeam(),"transferToBranch(address,uint256)"
incrementLimitBranch(),"transferToBranch(address,uint256)"
transferOwnership(address),"transferToBranch(address,uint256)"
enableTransfers(bool),"transferToBranch(address,uint256)"
acceptOwnership(),"transferFrom(address,address,uint256)"
setController(address),"transferFrom(address,address,uint256)"
incrementLimitTeam(),"transferFrom(address,address,uint256)"
incrementLimitBranch(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
enableTransfers(bool),"transferFrom(address,address,uint256)"
acceptOwnership(),"transferToTeam(address,uint256)"
setController(address),"transferToTeam(address,uint256)"
incrementLimitTeam(),"transferToTeam(address,uint256)"
incrementLimitBranch(),"transferToTeam(address,uint256)"
transferOwnership(address),"transferToTeam(address,uint256)"
enableTransfers(bool),"transferToTeam(address,uint256)"
acceptOwnership(),incrementLimitTeam()
setController(address),incrementLimitTeam()
incrementLimitBranch(),incrementLimitTeam()
transferOwnership(address),incrementLimitTeam()
enableTransfers(bool),incrementLimitTeam()
acceptOwnership(),"transfer(address,uint256)"
setController(address),"transfer(address,uint256)"
incrementLimitTeam(),"transfer(address,uint256)"
incrementLimitBranch(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
enableTransfers(bool),"transfer(address,uint256)"
acceptOwnership(),incrementLimitBranch()
setController(address),incrementLimitBranch()
incrementLimitTeam(),incrementLimitBranch()
transferOwnership(address),incrementLimitBranch()
enableTransfers(bool),incrementLimitBranch()
"transferFrom(address,address,uint256)",getLimitedBalanceOf(address)
