Source Function,Target Function
transferOwnership(address),"sendTokens(address,uint256)"
"approve(address,uint256)","sendTokens(address,uint256)"
"transferFrom(address,address,uint256)","sendTokens(address,uint256)"
"decreaseApproval(address,uint256)","sendTokens(address,uint256)"
"transfer(address,uint256)","sendTokens(address,uint256)"
"increaseApproval(address,uint256)","sendTokens(address,uint256)"
"sendTokens(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
