Source Function,Target Function
"getMixingResult(uint256,uint256)",withdrawSale(uint256)
setBleachPrice(uint256),withdrawSale(uint256)
setMixFormulaAddress(address),withdrawSale(uint256)
summon(),withdrawSale(uint256)
unpause(),withdrawSale(uint256)
pause(),withdrawSale(uint256)
"createSkin(uint128,uint256)",withdrawSale(uint256)
setPrePaidFee(uint256),withdrawSale(uint256)
setBaseSummonPrice(uint256),withdrawSale(uint256)
clearSummonNum(),withdrawSale(uint256)
transferOwnership(address),withdrawSale(uint256)
buyInMarket(uint256),withdrawSale(uint256)
"bleach(uint128,uint128)",withdrawSale(uint256)
setBleachPrice(uint256),"getMixingResult(uint256,uint256)"
setMixFormulaAddress(address),"getMixingResult(uint256,uint256)"
summon(),"getMixingResult(uint256,uint256)"
unpause(),"getMixingResult(uint256,uint256)"
pause(),"getMixingResult(uint256,uint256)"
"createSkin(uint128,uint256)","getMixingResult(uint256,uint256)"
setPrePaidFee(uint256),"getMixingResult(uint256,uint256)"
setBaseSummonPrice(uint256),"getMixingResult(uint256,uint256)"
clearSummonNum(),"getMixingResult(uint256,uint256)"
transferOwnership(address),"getMixingResult(uint256,uint256)"
withdrawSale(uint256),"getMixingResult(uint256,uint256)"
buyInMarket(uint256),"getMixingResult(uint256,uint256)"
"bleach(uint128,uint128)","getMixingResult(uint256,uint256)"
"getMixingResult(uint256,uint256)",setBleachPrice(uint256)
setMixFormulaAddress(address),setBleachPrice(uint256)
summon(),setBleachPrice(uint256)
unpause(),setBleachPrice(uint256)
pause(),setBleachPrice(uint256)
"createSkin(uint128,uint256)",setBleachPrice(uint256)
setPrePaidFee(uint256),setBleachPrice(uint256)
setBaseSummonPrice(uint256),setBleachPrice(uint256)
clearSummonNum(),setBleachPrice(uint256)
transferOwnership(address),setBleachPrice(uint256)
"getMixingResult(uint256,uint256)",setMixFormulaAddress(address)
setBleachPrice(uint256),setMixFormulaAddress(address)
summon(),setMixFormulaAddress(address)
unpause(),setMixFormulaAddress(address)
pause(),setMixFormulaAddress(address)
"createSkin(uint128,uint256)",setMixFormulaAddress(address)
setPrePaidFee(uint256),setMixFormulaAddress(address)
setBaseSummonPrice(uint256),setMixFormulaAddress(address)
clearSummonNum(),setMixFormulaAddress(address)
transferOwnership(address),setMixFormulaAddress(address)
"getMixingResult(uint256,uint256)",summon()
setBleachPrice(uint256),summon()
setMixFormulaAddress(address),summon()
unpause(),summon()
pause(),summon()
"createSkin(uint128,uint256)",summon()
setPrePaidFee(uint256),summon()
setBaseSummonPrice(uint256),summon()
clearSummonNum(),summon()
transferOwnership(address),summon()
withdrawSale(uint256),summon()
