Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
unfreeze(address),"transferFrom(address,address,uint256)"
"pay(address,uint256,uint256)","transferFrom(address,address,uint256)"
changeFrozenBalanceAll(uint8),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
unfreezeAll(),"transferFrom(address,address,uint256)"
"decreaseFrozenBalances(address,uint256)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"increaseFrozenBalances(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
unfreeze(address),burn(uint256)
"pay(address,uint256,uint256)",burn(uint256)
changeFrozenBalanceAll(uint8),burn(uint256)
"decreaseApproval(address,uint256)",burn(uint256)
unfreezeAll(),burn(uint256)
"decreaseFrozenBalances(address,uint256)",burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"increaseFrozenBalances(address,uint256)",burn(uint256)
"increaseApproval(address,uint256)",burn(uint256)
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
unfreeze(address),"burnFrom(address,uint256)"
"pay(address,uint256,uint256)","burnFrom(address,uint256)"
changeFrozenBalanceAll(uint8),"burnFrom(address,uint256)"
"decreaseApproval(address,uint256)","burnFrom(address,uint256)"
unfreezeAll(),"burnFrom(address,uint256)"
"decreaseFrozenBalances(address,uint256)","burnFrom(address,uint256)"
"increaseFrozenBalances(address,uint256)","burnFrom(address,uint256)"
"increaseApproval(address,uint256)","burnFrom(address,uint256)"
"setPrices(uint256,uint256)",sell(uint256)
setOwner(address),sell(uint256)
burn(uint256),sell(uint256)
close(),sell(uint256)
unfreezeAll(),sell(uint256)
setAdmin(address),sell(uint256)
"burnFrom(address,uint256)",sell(uint256)
"increaseFrozenBalances(address,uint256)",sell(uint256)
limit(),sell(uint256)
setFreezePercent(uint8),sell(uint256)
start(),sell(uint256)
