Source Function,Target Function
setCEO(address),"createSaleAuction(uint256,uint256,uint256,uint256)"
setCOO(address),"createSaleAuction(uint256,uint256,uint256,uint256)"
unpause(),"createSaleAuction(uint256,uint256,uint256,uint256)"
setCFO(address),"createSaleAuction(uint256,uint256,uint256,uint256)"
setSecondsPerBlock(uint256),"createSaleAuction(uint256,uint256,uint256,uint256)"
setSaleAuctionAddress(address),"createSaleAuction(uint256,uint256,uint256,uint256)"
setNewAddress(address),"createSaleAuction(uint256,uint256,uint256,uint256)"
"createDefaultGen0CobeFriend(uint256,address,uint256,uint256)","createSaleAuction(uint256,uint256,uint256,uint256)"
pause(),"createSaleAuction(uint256,uint256,uint256,uint256)"
setMetadataAddress(address),"createSaleAuction(uint256,uint256,uint256,uint256)"
setCEO(address),unpause()
setCOO(address),unpause()
setCFO(address),unpause()
setSecondsPerBlock(uint256),unpause()
setSaleAuctionAddress(address),unpause()
setNewAddress(address),unpause()
"createDefaultGen0CobeFriend(uint256,address,uint256,uint256)",unpause()
pause(),unpause()
setMetadataAddress(address),unpause()
"approve(address,uint256)",ownerOf(uint256)
"transferFrom(address,address,uint256)",ownerOf(uint256)
"createSaleAuction(uint256,uint256,uint256,uint256)",ownerOf(uint256)
"transfer(address,uint256)",ownerOf(uint256)
setCEO(address),withdrawAuctionBalances()
setCOO(address),withdrawAuctionBalances()
unpause(),withdrawAuctionBalances()
setCFO(address),withdrawAuctionBalances()
setSecondsPerBlock(uint256),withdrawAuctionBalances()
setSaleAuctionAddress(address),withdrawAuctionBalances()
setNewAddress(address),withdrawAuctionBalances()
"createDefaultGen0CobeFriend(uint256,address,uint256,uint256)",withdrawAuctionBalances()
pause(),withdrawAuctionBalances()
setMetadataAddress(address),withdrawAuctionBalances()
setCEO(address),"transfer(address,uint256)"
setCOO(address),"transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
setCFO(address),"transfer(address,uint256)"
setSecondsPerBlock(uint256),"transfer(address,uint256)"
setSaleAuctionAddress(address),"transfer(address,uint256)"
setNewAddress(address),"transfer(address,uint256)"
"createDefaultGen0CobeFriend(uint256,address,uint256,uint256)","transfer(address,uint256)"
pause(),"transfer(address,uint256)"
setMetadataAddress(address),"transfer(address,uint256)"
