Source Function,Target Function
transferOwnership(address),"addBalance(address,uint256)"
transferOwnership(address),"setStatus(address,uint8)"
transferOwnership(address),"subtrBalance(address,uint256)"
"addBalance(address,uint256)","subtrBalance(address,uint256)"
"setStatus(address,uint8)","subtrBalance(address,uint256)"
"addReferralDeposit(address,uint256)","subtrBalance(address,uint256)"
"addInvestorBalance(address,uint256)","subtrBalance(address,uint256)"
"setParent(address,address)","subtrBalance(address,uint256)"
"subtrInvestorBalance(address,uint256)","subtrBalance(address,uint256)"
transferOwnership(address),"addReferralDeposit(address,uint256)"
transferOwnership(address),"addInvestorBalance(address,uint256)"
transferOwnership(address),"setParent(address,address)"
transferOwnership(address),"subtrInvestorBalance(address,uint256)"
"addBalance(address,uint256)","subtrInvestorBalance(address,uint256)"
"setStatus(address,uint8)","subtrInvestorBalance(address,uint256)"
"subtrBalance(address,uint256)","subtrInvestorBalance(address,uint256)"
"addReferralDeposit(address,uint256)","subtrInvestorBalance(address,uint256)"
"addInvestorBalance(address,uint256)","subtrInvestorBalance(address,uint256)"
"setParent(address,address)","subtrInvestorBalance(address,uint256)"
