Source Function,Target Function
finishMinting(),"transferFrom(address,address,uint256)"
"mint(address[],uint256[])","transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"lockTokens(address[],uint256[])","transferFrom(address,address,uint256)"
finishMinting(),"lockTokens(address[],uint256[])"
"mint(address[],uint256[])","lockTokens(address[],uint256[])"
transferOwnership(address),"lockTokens(address[],uint256[])"
"approve(address,uint256)","lockTokens(address[],uint256[])"
"transferFrom(address,address,uint256)","lockTokens(address[],uint256[])"
finishMinting(),"transferAndCall(address,uint256,bytes)"
"mint(address[],uint256[])","transferAndCall(address,uint256,bytes)"
transferOwnership(address),"transferAndCall(address,uint256,bytes)"
"mint(address[],uint256[])",finishMinting()
transferOwnership(address),finishMinting()
finishMinting(),"mint(address[],uint256[])"
transferOwnership(address),"mint(address[],uint256[])"
finishMinting(),transferOwnership(address)
"mint(address[],uint256[])",transferOwnership(address)
