Source Function,Target Function
"transfer(BTTSLib.Data storage,address,uint256)","approve(BTTSLib.Data storage,address,uint256)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","approve(BTTSLib.Data storage,address,uint256)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","approve(BTTSLib.Data storage,address,uint256)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","approve(BTTSLib.Data storage,address,uint256)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","approve(BTTSLib.Data storage,address,uint256)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","approve(BTTSLib.Data storage,address,uint256)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","approve(BTTSLib.Data storage,address,uint256)"
"mint(BTTSLib.Data storage,address,uint256,bool)","approve(BTTSLib.Data storage,address,uint256)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","approve(BTTSLib.Data storage,address,uint256)"
"unlockAccount(BTTSLib.Data storage,address)","approve(BTTSLib.Data storage,address,uint256)"
"approve(BTTSLib.Data storage,address,uint256)","transfer(BTTSLib.Data storage,address,uint256)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","transfer(BTTSLib.Data storage,address,uint256)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","transfer(BTTSLib.Data storage,address,uint256)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","transfer(BTTSLib.Data storage,address,uint256)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","transfer(BTTSLib.Data storage,address,uint256)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","transfer(BTTSLib.Data storage,address,uint256)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","transfer(BTTSLib.Data storage,address,uint256)"
"mint(BTTSLib.Data storage,address,uint256,bool)","transfer(BTTSLib.Data storage,address,uint256)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","transfer(BTTSLib.Data storage,address,uint256)"
"unlockAccount(BTTSLib.Data storage,address)","transfer(BTTSLib.Data storage,address,uint256)"
"approve(BTTSLib.Data storage,address,uint256)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"transfer(BTTSLib.Data storage,address,uint256)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"mint(BTTSLib.Data storage,address,uint256,bool)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"unlockAccount(BTTSLib.Data storage,address)","approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)"
"approve(BTTSLib.Data storage,address,uint256)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"transfer(BTTSLib.Data storage,address,uint256)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"mint(BTTSLib.Data storage,address,uint256,bool)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"unlockAccount(BTTSLib.Data storage,address)","transferFrom(BTTSLib.Data storage,address,address,uint256)"
"approve(BTTSLib.Data storage,address,uint256)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"transfer(BTTSLib.Data storage,address,uint256)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"mint(BTTSLib.Data storage,address,uint256,bool)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"unlockAccount(BTTSLib.Data storage,address)","signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"approve(BTTSLib.Data storage,address,uint256)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"transfer(BTTSLib.Data storage,address,uint256)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"mint(BTTSLib.Data storage,address,uint256,bool)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"unlockAccount(BTTSLib.Data storage,address)","signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)"
"approve(BTTSLib.Data storage,address,uint256)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"transfer(BTTSLib.Data storage,address,uint256)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"mint(BTTSLib.Data storage,address,uint256,bool)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"unlockAccount(BTTSLib.Data storage,address)","signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)"
"approve(BTTSLib.Data storage,address,uint256)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"transfer(BTTSLib.Data storage,address,uint256)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"mint(BTTSLib.Data storage,address,uint256,bool)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"unlockAccount(BTTSLib.Data storage,address)","signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)"
"approve(BTTSLib.Data storage,address,uint256)","unlockAccount(BTTSLib.Data storage,address)"
"transfer(BTTSLib.Data storage,address,uint256)","unlockAccount(BTTSLib.Data storage,address)"
"init(BTTSLib.Data storage,address,string,string,uint8,uint256,bool,bool)","unlockAccount(BTTSLib.Data storage,address)"
"approveAndCall(BTTSLib.Data storage,address,address,uint256,bytes)","unlockAccount(BTTSLib.Data storage,address)"
"transferFrom(BTTSLib.Data storage,address,address,uint256)","unlockAccount(BTTSLib.Data storage,address)"
"signedTransfer(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","unlockAccount(BTTSLib.Data storage,address)"
"signedApproveAndCall(BTTSLib.Data storage,address,address,address,uint256,bytes,uint256,uint256,bytes,address)","unlockAccount(BTTSLib.Data storage,address)"
"signedTransferFrom(BTTSLib.Data storage,address,address,address,address,uint256,uint256,uint256,bytes,address)","unlockAccount(BTTSLib.Data storage,address)"
"mint(BTTSLib.Data storage,address,uint256,bool)","unlockAccount(BTTSLib.Data storage,address)"
"signedApprove(BTTSLib.Data storage,address,address,address,uint256,uint256,uint256,bytes,address)","unlockAccount(BTTSLib.Data storage,address)"
