Source Function,Target Function
unpause(),"approve(address,uint256)"
burn(uint256),"approve(address,uint256)"
finishMinting(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
"setApprovalForAll(address,bool)","approve(address,uint256)"
"approve(address,uint256)","setTokenURI(uint256,string)"
burn(uint256),"setTokenURI(uint256,string)"
"setApprovalForAll(address,bool)","setTokenURI(uint256,string)"
burn(uint256),unpause()
finishMinting(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
unpause(),"safeTransferFrom(address,address,uint256)"
burn(uint256),"safeTransferFrom(address,address,uint256)"
finishMinting(),"safeTransferFrom(address,address,uint256)"
pause(),"safeTransferFrom(address,address,uint256)"
transferOwnership(address),"safeTransferFrom(address,address,uint256)"
unpause(),burn(uint256)
finishMinting(),burn(uint256)
pause(),burn(uint256)
transferOwnership(address),burn(uint256)
unpause(),"mintWithURI(address,uint256,string)"
burn(uint256),"mintWithURI(address,uint256,string)"
finishMinting(),"mintWithURI(address,uint256,string)"
pause(),"mintWithURI(address,uint256,string)"
transferOwnership(address),"mintWithURI(address,uint256,string)"
"approve(address,uint256)",ownerOf(uint256)
burn(uint256),ownerOf(uint256)
"setApprovalForAll(address,bool)",ownerOf(uint256)
unpause(),finishMinting()
burn(uint256),finishMinting()
pause(),finishMinting()
transferOwnership(address),finishMinting()
unpause(),pause()
burn(uint256),pause()
finishMinting(),pause()
transferOwnership(address),pause()
unpause(),"setApprovalForAll(address,bool)"
burn(uint256),"setApprovalForAll(address,bool)"
finishMinting(),"setApprovalForAll(address,bool)"
pause(),"setApprovalForAll(address,bool)"
transferOwnership(address),"setApprovalForAll(address,bool)"
unpause(),transferOwnership(address)
burn(uint256),transferOwnership(address)
finishMinting(),transferOwnership(address)
pause(),transferOwnership(address)
