Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"mintTokens(address,uint256)","transferFrom(address,address,uint256)"
setDataFactory(address),"transferFrom(address,address,uint256)"
changeFee(uint256),"transferFrom(address,address,uint256)"
renounceOwnership(),"transferFrom(address,address,uint256)"
changeFreezeTransaction(string),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"addProperty(string,string,uint64,uint64,uint64)","transferFrom(address,address,uint256)"
setDataFactory(address),"noFeeTransfer(address,uint256)"
changeFee(uint256),"noFeeTransfer(address,uint256)"
renounceOwnership(),"noFeeTransfer(address,uint256)"
changeFreezeTransaction(string),"noFeeTransfer(address,uint256)"
"mintTokens(address,uint256)","noFeeTransfer(address,uint256)"
transferOwnership(address),"noFeeTransfer(address,uint256)"
"addProperty(string,string,uint64,uint64,uint64)","noFeeTransfer(address,uint256)"
setDataFactory(address),"transfer(address,uint256)"
changeFee(uint256),"transfer(address,uint256)"
renounceOwnership(),"transfer(address,uint256)"
changeFreezeTransaction(string),"transfer(address,uint256)"
"mintTokens(address,uint256)","transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"addProperty(string,string,uint64,uint64,uint64)","transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
setDataFactory(address),"mintTokens(address,uint256)"
changeFee(uint256),"mintTokens(address,uint256)"
renounceOwnership(),"mintTokens(address,uint256)"
changeFreezeTransaction(string),"mintTokens(address,uint256)"
transferOwnership(address),"mintTokens(address,uint256)"
"addProperty(string,string,uint64,uint64,uint64)","mintTokens(address,uint256)"
