Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
whitelistUser(address),"transferFrom(address,address,uint256)"
whitelistManyUsers(address[]),"transferFrom(address,address,uint256)"
"mintToken(address,uint256)","transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"airdrop(address[],uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
"freezeAccount(address,bool)","transferFrom(address,address,uint256)"
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
whitelistUser(address),burn(uint256)
whitelistManyUsers(address[]),burn(uint256)
"mintToken(address,uint256)",burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"airdrop(address[],uint256)",burn(uint256)
"approveAndCall(address,uint256,bytes)",burn(uint256)
"freezeAccount(address,bool)",burn(uint256)
"approve(address,uint256)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
whitelistUser(address),"burnFrom(address,uint256)"
whitelistManyUsers(address[]),"burnFrom(address,uint256)"
"mintToken(address,uint256)","burnFrom(address,uint256)"
"airdrop(address[],uint256)","burnFrom(address,uint256)"
"approveAndCall(address,uint256,bytes)","burnFrom(address,uint256)"
"freezeAccount(address,bool)","burnFrom(address,uint256)"
"approve(address,uint256)","airdrop(address[],uint256)"
"transferFrom(address,address,uint256)","airdrop(address[],uint256)"
burn(uint256),"airdrop(address[],uint256)"
whitelistUser(address),"airdrop(address[],uint256)"
whitelistManyUsers(address[]),"airdrop(address[],uint256)"
"mintToken(address,uint256)","airdrop(address[],uint256)"
"burnFrom(address,uint256)","airdrop(address[],uint256)"
"approveAndCall(address,uint256,bytes)","airdrop(address[],uint256)"
"freezeAccount(address,bool)","airdrop(address[],uint256)"
