Source Function,Target Function
"createPerson(uint32,string,uint256)",setStore(address)
purchase(uint32),setStore(address)
transferOwnership(address),setStore(address)
setStore(address),withdraw()
"createPerson(uint32,string,uint256)",withdraw()
purchase(uint32),withdraw()
transferOwnership(address),withdraw()
"discount(uint32,uint256)","transfer(address,uint32)"
"createPerson(uint32,string,uint256)","transfer(address,uint32)"
purchase(uint32),"transfer(address,uint32)"
"transfer(address,uint32)","discount(uint32,uint256)"
"createPerson(uint32,string,uint256)","discount(uint32,uint256)"
purchase(uint32),"discount(uint32,uint256)"
setStore(address),"createPerson(uint32,string,uint256)"
purchase(uint32),"createPerson(uint32,string,uint256)"
transferOwnership(address),"createPerson(uint32,string,uint256)"
"transfer(address,uint32)","createPerson(uint32,string,uint256)"
"discount(uint32,uint256)","createPerson(uint32,string,uint256)"
"transfer(address,uint32)",getPerson(uint32)
"discount(uint32,uint256)",getPerson(uint32)
"createPerson(uint32,string,uint256)",getPerson(uint32)
purchase(uint32),getPerson(uint32)
setStore(address),getStore()
"createPerson(uint32,string,uint256)",getStore()
purchase(uint32),getStore()
transferOwnership(address),getStore()
"transfer(address,uint32)",purchase(uint32)
"discount(uint32,uint256)",purchase(uint32)
"createPerson(uint32,string,uint256)",purchase(uint32)
setStore(address),purchase(uint32)
transferOwnership(address),purchase(uint32)
setStore(address),transferOwnership(address)
"createPerson(uint32,string,uint256)",transferOwnership(address)
purchase(uint32),transferOwnership(address)
