Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
removeMinter(address),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addMinter(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","mint(address,uint256)"
"transferFrom(address,address,uint256)","mint(address,uint256)"
removeMinter(address),"mint(address,uint256)"
"decreaseApproval(address,uint256)","mint(address,uint256)"
addMinter(address),"mint(address,uint256)"
"transfer(address,uint256)","mint(address,uint256)"
"increaseApproval(address,uint256)","mint(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
removeMinter(address),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
addMinter(address),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
