Source Function,Target Function
"approve(address,uint256)",ownerOf(uint256)
"transferFrom(address,address,uint256)",ownerOf(uint256)
"transfer(address,uint256)",ownerOf(uint256)
"useProps(uint256[],uint16[],uint16[])","giveBirth(uint256,uint256)"
"createPromoClown(uint256,address,bool)",transferOwnership(address)
createGen0(uint256),transferOwnership(address)
setGeneScienceAddress(address),transferOwnership(address)
setCEO(address),transferOwnership(address)
setCOO(address),transferOwnership(address)
unpause(),transferOwnership(address)
setNewAddress(address),transferOwnership(address)
pause(),transferOwnership(address)
