Source Function,Target Function
unlock(uint256),"setBeneficiaryAddress(uint256,address)"
lock(uint256),"setBeneficiaryAddress(uint256,address)"
unlock(uint256),"approve(address,uint256)"
lock(uint256),"approve(address,uint256)"
unlock(uint256),"transferFrom(address,address,uint256)"
lock(uint256),"transferFrom(address,address,uint256)"
lock(uint256),unlock(uint256)
unlock(uint256),"transfer(address,uint256)"
lock(uint256),"transfer(address,uint256)"
unlock(uint256),takeOwnership(uint256)
lock(uint256),takeOwnership(uint256)
unlock(uint256),lock(uint256)
unlock(uint256),purchase(uint256)
lock(uint256),purchase(uint256)
"setBeneficiaryAddress(uint256,address)",purchase(uint256)
"approve(address,uint256)",purchase(uint256)
"transferFrom(address,address,uint256)",purchase(uint256)
"transfer(address,uint256)",purchase(uint256)
takeOwnership(uint256),purchase(uint256)
"setPrice(uint256,uint256)",purchase(uint256)
unlock(uint256),"setPrice(uint256,uint256)"
lock(uint256),"setPrice(uint256,uint256)"
"setBeneficiaryAddress(uint256,address)","setPrice(uint256,uint256)"
"approve(address,uint256)","setPrice(uint256,uint256)"
"transferFrom(address,address,uint256)","setPrice(uint256,uint256)"
"transfer(address,uint256)","setPrice(uint256,uint256)"
takeOwnership(uint256),"setPrice(uint256,uint256)"
purchase(uint256),"setPrice(uint256,uint256)"
