Source Function,Target Function
removeFromPresaleWhitelist(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
addManyToPresaleWhitelist(address[]),"transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addToPresaleWhitelist(address),"transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
claimRefund(),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
removeFromPresaleWhitelist(address),"transfer(address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
addManyToPresaleWhitelist(address[]),"transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
addToPresaleWhitelist(address),"transfer(address,uint256)"
claimRefund(),"transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
removeFromPresaleWhitelist(address),claimRefund()
"approve(address,uint256)",claimRefund()
"transferFrom(address,address,uint256)",claimRefund()
addManyToPresaleWhitelist(address[]),claimRefund()
"decreaseApproval(address,uint256)",claimRefund()
addToPresaleWhitelist(address),claimRefund()
"transfer(address,uint256)",claimRefund()
"increaseApproval(address,uint256)",claimRefund()
