Source Function,Target Function
withdrawPayments(),refund(uint256)
getRemainCoins(),refund(uint256)
emergencyStop(),finalize()
release(),finalize()
start(),finalize()
getRemainCoins(),finalize()
transferOwnership(address),finalize()
setMultisig(address),finalize()
refund(uint256),withdrawPayments()
getRemainCoins(),withdrawPayments()
finalize(),emergencyStop()
release(),emergencyStop()
start(),emergencyStop()
getRemainCoins(),emergencyStop()
transferOwnership(address),emergencyStop()
setMultisig(address),emergencyStop()
finalize(),release()
emergencyStop(),release()
start(),release()
getRemainCoins(),release()
transferOwnership(address),release()
setMultisig(address),release()
finalize(),drain()
emergencyStop(),drain()
release(),drain()
start(),drain()
getRemainCoins(),drain()
transferOwnership(address),drain()
setMultisig(address),drain()
finalize(),start()
emergencyStop(),start()
release(),start()
getRemainCoins(),start()
transferOwnership(address),start()
setMultisig(address),start()
finalize(),getRemainCoins()
emergencyStop(),getRemainCoins()
release(),getRemainCoins()
start(),getRemainCoins()
transferOwnership(address),getRemainCoins()
setMultisig(address),getRemainCoins()
finalize(),transferOwnership(address)
emergencyStop(),transferOwnership(address)
release(),transferOwnership(address)
start(),transferOwnership(address)
getRemainCoins(),transferOwnership(address)
setMultisig(address),transferOwnership(address)
finalize(),setMultisig(address)
emergencyStop(),setMultisig(address)
release(),setMultisig(address)
start(),setMultisig(address)
getRemainCoins(),setMultisig(address)
transferOwnership(address),setMultisig(address)
finalize(),backOrenCoinOwner()
emergencyStop(),backOrenCoinOwner()
release(),backOrenCoinOwner()
start(),backOrenCoinOwner()
getRemainCoins(),backOrenCoinOwner()
transferOwnership(address),backOrenCoinOwner()
setMultisig(address),backOrenCoinOwner()
