Source Function,Target Function
burn(uint256),"transferEther(address,uint256)"
updateTokensPerEth(uint256),"transferEther(address,uint256)"
transferOwnership(address),"transferEther(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
disallowClaimer(address[]),"transferFrom(address,address,uint256)"
"doDistro(address[],uint256)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
allowClaimer(address[]),"transferFrom(address,address,uint256)"
"doDistroAmount(address[],uint256[])","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
burn(uint256),disallowClaimer(address[])
updateTokensPerEth(uint256),disallowClaimer(address[])
transferOwnership(address),disallowClaimer(address[])
burn(uint256),"doDistro(address[],uint256)"
updateTokensPerEth(uint256),"doDistro(address[],uint256)"
transferOwnership(address),"doDistro(address[],uint256)"
"approve(address,uint256)","doDistro(address[],uint256)"
"transferFrom(address,address,uint256)","doDistro(address[],uint256)"
disallowClaimer(address[]),"doDistro(address[],uint256)"
allowClaimer(address[]),"doDistro(address[],uint256)"
"doDistroAmount(address[],uint256[])","doDistro(address[],uint256)"
"transfer(address,uint256)","doDistro(address[],uint256)"
updateTokensPerEth(uint256),burn(uint256)
transferOwnership(address),burn(uint256)
"approve(address,uint256)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
disallowClaimer(address[]),burn(uint256)
"doDistro(address[],uint256)",burn(uint256)
allowClaimer(address[]),burn(uint256)
"doDistroAmount(address[],uint256[])",burn(uint256)
"transfer(address,uint256)",burn(uint256)
burn(uint256),allowClaimer(address[])
updateTokensPerEth(uint256),allowClaimer(address[])
transferOwnership(address),allowClaimer(address[])
burn(uint256),updateTokensPerEth(uint256)
transferOwnership(address),updateTokensPerEth(uint256)
burn(uint256),"doDistroAmount(address[],uint256[])"
updateTokensPerEth(uint256),"doDistroAmount(address[],uint256[])"
transferOwnership(address),"doDistroAmount(address[],uint256[])"
"approve(address,uint256)","doDistroAmount(address[],uint256[])"
"transferFrom(address,address,uint256)","doDistroAmount(address[],uint256[])"
disallowClaimer(address[]),"doDistroAmount(address[],uint256[])"
"doDistro(address[],uint256)","doDistroAmount(address[],uint256[])"
allowClaimer(address[]),"doDistroAmount(address[],uint256[])"
"transfer(address,uint256)","doDistroAmount(address[],uint256[])"
burn(uint256),"doEthDistro(address[],uint256)"
updateTokensPerEth(uint256),"doEthDistro(address[],uint256)"
transferOwnership(address),"doEthDistro(address[],uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
disallowClaimer(address[]),"transfer(address,uint256)"
"doDistro(address[],uint256)","transfer(address,uint256)"
burn(uint256),"transfer(address,uint256)"
allowClaimer(address[]),"transfer(address,uint256)"
"doDistroAmount(address[],uint256[])","transfer(address,uint256)"
burn(uint256),withdrawFund()
updateTokensPerEth(uint256),withdrawFund()
transferOwnership(address),withdrawFund()
burn(uint256),withdrawForeignTokens(address)
updateTokensPerEth(uint256),withdrawForeignTokens(address)
transferOwnership(address),withdrawForeignTokens(address)
burn(uint256),transferOwnership(address)
updateTokensPerEth(uint256),transferOwnership(address)
