Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"setIsSendingLocked(address,bool)","transferFrom(address,address,uint256)"
"transferFrom(address,address,uint256,bytes)","transferFrom(address,address,uint256)"
"transfer(address,uint256,bytes)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256,bytes)"
"transferFrom(address,address,uint256)","transferFrom(address,address,uint256,bytes)"
"setIsSendingLocked(address,bool)","transferFrom(address,address,uint256,bytes)"
"transfer(address,uint256,bytes)","transferFrom(address,address,uint256,bytes)"
"approve(address,uint256)","transfer(address,uint256,bytes)"
"transferFrom(address,address,uint256)","transfer(address,uint256,bytes)"
"setIsSendingLocked(address,bool)","transfer(address,uint256,bytes)"
"transferFrom(address,address,uint256,bytes)","transfer(address,uint256,bytes)"
