Source Function,Target Function
"setCanAcceptTokens(address,bool)",updateFundAddress(address)
"setAdministrator(address,bool)",updateFundAddress(address)
reinvest(),updateFundAddress(address)
updateFundAddress(address),calculateEthereumReceived(uint256)
finalizeFundAddress(address),calculateEthereumReceived(uint256)
setStakingRequirement(uint256),calculateEthereumReceived(uint256)
payFund(),calculateEthereumReceived(uint256)
setSymbol(string),calculateEthereumReceived(uint256)
setName(string),calculateEthereumReceived(uint256)
"setAdministrator(address,bool)","setCanAcceptTokens(address,bool)"
reinvest(),"setCanAcceptTokens(address,bool)"
"setCanAcceptTokens(address,bool)","transferAndCall(address,uint256,bytes)"
"setAdministrator(address,bool)","transferAndCall(address,uint256,bytes)"
reinvest(),"transferAndCall(address,uint256,bytes)"
"setCanAcceptTokens(address,bool)",finalizeFundAddress(address)
"setAdministrator(address,bool)",finalizeFundAddress(address)
reinvest(),finalizeFundAddress(address)
"setCanAcceptTokens(address,bool)",setStakingRequirement(uint256)
"setAdministrator(address,bool)",setStakingRequirement(uint256)
reinvest(),setStakingRequirement(uint256)
"setCanAcceptTokens(address,bool)","setAdministrator(address,bool)"
reinvest(),"setAdministrator(address,bool)"
"setCanAcceptTokens(address,bool)",setSymbol(string)
"setAdministrator(address,bool)",setSymbol(string)
reinvest(),setSymbol(string)
"setCanAcceptTokens(address,bool)",setName(string)
"setAdministrator(address,bool)",setName(string)
reinvest(),setName(string)
