Source Function,Target Function
"approve(address,uint256)",removeOwner(address)
"transferFrom(address,address,uint256)",removeOwner(address)
"mint(address,uint256)",removeOwner(address)
"decreaseApproval(address,uint256)",removeOwner(address)
addOwner(address),removeOwner(address)
"increaseApproval(address,uint256)",removeOwner(address)
"approve(address,uint256)","transferFrom(address,address,uint256)"
removeOwner(address),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
addOwner(address),"transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
removeOwner(address),acceptDividends(uint256)
"mint(address,uint256)",acceptDividends(uint256)
addOwner(address),acceptDividends(uint256)
"approve(address,uint256)","mint(address,uint256)"
removeOwner(address),"mint(address,uint256)"
"transferFrom(address,address,uint256)","mint(address,uint256)"
"decreaseApproval(address,uint256)","mint(address,uint256)"
addOwner(address),"mint(address,uint256)"
"increaseApproval(address,uint256)","mint(address,uint256)"
"approve(address,uint256)",addOwner(address)
removeOwner(address),addOwner(address)
"transferFrom(address,address,uint256)",addOwner(address)
"mint(address,uint256)",addOwner(address)
"decreaseApproval(address,uint256)",addOwner(address)
"increaseApproval(address,uint256)",addOwner(address)
"approve(address,uint256)","releaseDividendsRightsForce(address,uint256)"
removeOwner(address),"releaseDividendsRightsForce(address,uint256)"
"transferFrom(address,address,uint256)","releaseDividendsRightsForce(address,uint256)"
"mint(address,uint256)","releaseDividendsRightsForce(address,uint256)"
"decreaseApproval(address,uint256)","releaseDividendsRightsForce(address,uint256)"
addOwner(address),"releaseDividendsRightsForce(address,uint256)"
"increaseApproval(address,uint256)","releaseDividendsRightsForce(address,uint256)"
