Source Function,Target Function
createContractGrey(string),payout(address)
setCEO(address),payout(address)
setCOO(address),payout(address)
createContractGrey(string),setCEO(address)
setCOO(address),setCEO(address)
createContractGrey(string),setCOO(address)
setCEO(address),setCOO(address)
"approve(address,uint256)",ownerOf(uint256)
createContractGrey(string),ownerOf(uint256)
purchase(uint256),ownerOf(uint256)
"approve(address,uint256)",purchase(uint256)
createContractGrey(string),purchase(uint256)
setCEO(address),purchase(uint256)
setCOO(address),purchase(uint256)
