Source Function,Target Function
freeze(),"transferFrom(address,address,uint256)"
renounceOwnership(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
freeze(),"mint(address,uint256)"
renounceOwnership(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
freeze(),burn(uint256)
renounceOwnership(),burn(uint256)
transferOwnership(address),burn(uint256)
freeze(),"burnFrom(address,uint256)"
renounceOwnership(),"burnFrom(address,uint256)"
transferOwnership(address),"burnFrom(address,uint256)"
freeze(),"burn(address,uint256)"
renounceOwnership(),"burn(address,uint256)"
transferOwnership(address),"burn(address,uint256)"
freeze(),"transfer(address,uint256)"
renounceOwnership(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
freeze(),"redeemVoucher(uint8,bytes32,bytes32,uint64,uint64,uint256,uint256,address,bytes32)"
renounceOwnership(),"redeemVoucher(uint8,bytes32,bytes32,uint64,uint64,uint256,uint256,address,bytes32)"
transferOwnership(address),"redeemVoucher(uint8,bytes32,bytes32,uint64,uint64,uint256,uint256,address,bytes32)"
