Source Function,Target Function
"approve(address,uint256)","burnTokens(address,uint256)"
"transferFrom(address,address,uint256)","burnTokens(address,uint256)"
"transfer(address,uint256)","burnTokens(address,uint256)"
"approveAndCall(address,uint256,bytes)","burnTokens(address,uint256)"
"mintTokens(address,uint256)","burnTokens(address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"burnTokens(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
"mintTokens(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","transfer(address,uint256)"
"burnTokens(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"approveAndCall(address,uint256,bytes)","transfer(address,uint256)"
"mintTokens(address,uint256)","transfer(address,uint256)"
"approve(address,uint256)","mintTokens(address,uint256)"
"burnTokens(address,uint256)","mintTokens(address,uint256)"
"transferFrom(address,address,uint256)","mintTokens(address,uint256)"
"transfer(address,uint256)","mintTokens(address,uint256)"
"approveAndCall(address,uint256,bytes)","mintTokens(address,uint256)"
withdraw(address),"mintTokens(address,uint256)"
setCXLExchangeRate(uint256),"mintTokens(address,uint256)"
changeOwner(address),"mintTokens(address,uint256)"
crowdsaleOpen(bool),"mintTokens(address,uint256)"
