Source Function,Target Function
burn(uint256),openSale()
"burnFrom(address,uint256)",openSale()
"amendAmount(uint8,uint8,uint8)",openSale()
selfLock(),openSale()
closeSale(),openSale()
transferOwnership(address),openSale()
"approve(address,uint256)","claim(address,address)"
"transferFrom(address,address,uint256)","claim(address,address)"
burn(uint256),"claim(address,address)"
bury(),"claim(address,address)"
"burnFrom(address,uint256)","claim(address,address)"
"approveAndCall(address,uint256,bytes)","claim(address,address)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"claim(address,address)","transferFrom(address,address,uint256)"
burn(uint256),"transferFrom(address,address,uint256)"
bury(),"transferFrom(address,address,uint256)"
"burnFrom(address,uint256)","transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
openSale(),withdrawFunds()
burn(uint256),withdrawFunds()
"burnFrom(address,uint256)",withdrawFunds()
"amendAmount(uint8,uint8,uint8)",withdrawFunds()
selfLock(),withdrawFunds()
closeSale(),withdrawFunds()
transferOwnership(address),withdrawFunds()
"approve(address,uint256)",burn(uint256)
"claim(address,address)",burn(uint256)
"transferFrom(address,address,uint256)",burn(uint256)
bury(),burn(uint256)
"burnFrom(address,uint256)",burn(uint256)
"approveAndCall(address,uint256,bytes)",burn(uint256)
"approve(address,uint256)",bury()
"claim(address,address)",bury()
"transferFrom(address,address,uint256)",bury()
burn(uint256),bury()
"burnFrom(address,uint256)",bury()
"approveAndCall(address,uint256,bytes)",bury()
"approve(address,uint256)","burnFrom(address,uint256)"
"claim(address,address)","burnFrom(address,uint256)"
"transferFrom(address,address,uint256)","burnFrom(address,uint256)"
burn(uint256),"burnFrom(address,uint256)"
bury(),"burnFrom(address,uint256)"
"approveAndCall(address,uint256,bytes)","burnFrom(address,uint256)"
openSale(),"amendAmount(uint8,uint8,uint8)"
burn(uint256),"amendAmount(uint8,uint8,uint8)"
"burnFrom(address,uint256)","amendAmount(uint8,uint8,uint8)"
selfLock(),"amendAmount(uint8,uint8,uint8)"
closeSale(),"amendAmount(uint8,uint8,uint8)"
transferOwnership(address),"amendAmount(uint8,uint8,uint8)"
openSale(),selfLock()
burn(uint256),selfLock()
"burnFrom(address,uint256)",selfLock()
"amendAmount(uint8,uint8,uint8)",selfLock()
closeSale(),selfLock()
transferOwnership(address),selfLock()
openSale(),closeSale()
burn(uint256),closeSale()
"burnFrom(address,uint256)",closeSale()
"amendAmount(uint8,uint8,uint8)",closeSale()
selfLock(),closeSale()
transferOwnership(address),closeSale()
openSale(),transferOwnership(address)
burn(uint256),transferOwnership(address)
"burnFrom(address,uint256)",transferOwnership(address)
"amendAmount(uint8,uint8,uint8)",transferOwnership(address)
selfLock(),transferOwnership(address)
closeSale(),transferOwnership(address)
