Source Function,Target Function
removeRewardToken(address),"addRewardToken(address,uint256)"
removeApprover(address),"addRewardToken(address,uint256)"
destroyRewards(),"addRewardToken(address,uint256)"
addApprover(address),"addRewardToken(address,uint256)"
updateReferralBonusRate(uint256),"addRewardToken(address,uint256)"
transferOwnership(address),"addRewardToken(address,uint256)"
removeRequester(address),"addRewardToken(address,uint256)"
"registerReferral(address,address)","addRewardToken(address,uint256)"
addRequester(address),"addRewardToken(address,uint256)"
"addRewardToken(address,uint256)",removeRequester(address)
removeRewardToken(address),removeRequester(address)
removeApprover(address),removeRequester(address)
destroyRewards(),removeRequester(address)
addApprover(address),removeRequester(address)
updateReferralBonusRate(uint256),removeRequester(address)
transferOwnership(address),removeRequester(address)
"registerReferral(address,address)",removeRequester(address)
addRequester(address),removeRequester(address)
"addRewardToken(address,uint256)",removeRewardToken(address)
removeApprover(address),removeRewardToken(address)
destroyRewards(),removeRewardToken(address)
addApprover(address),removeRewardToken(address)
updateReferralBonusRate(uint256),removeRewardToken(address)
transferOwnership(address),removeRewardToken(address)
removeRequester(address),removeRewardToken(address)
"registerReferral(address,address)",removeRewardToken(address)
addRequester(address),removeRewardToken(address)
"addRewardToken(address,uint256)",removeApprover(address)
removeRewardToken(address),removeApprover(address)
destroyRewards(),removeApprover(address)
addApprover(address),removeApprover(address)
updateReferralBonusRate(uint256),removeApprover(address)
transferOwnership(address),removeApprover(address)
"addRewardToken(address,uint256)",destroyRewards()
removeRewardToken(address),destroyRewards()
removeApprover(address),destroyRewards()
addApprover(address),destroyRewards()
updateReferralBonusRate(uint256),destroyRewards()
transferOwnership(address),destroyRewards()
"updateRewardRate(address,uint256)",destroyRewards()
"addRewardToken(address,uint256)","getRewardRate(address,address)"
removeRequester(address),"getRewardRate(address,address)"
removeRewardToken(address),"getRewardRate(address,address)"
"registerReferral(address,address)","getRewardRate(address,address)"
destroyRewards(),"getRewardRate(address,address)"
addRequester(address),"getRewardRate(address,address)"
"addRewardToken(address,uint256)",getTotalTokens(address)
removeRequester(address),getTotalTokens(address)
removeRewardToken(address),getTotalTokens(address)
"registerReferral(address,address)",getTotalTokens(address)
destroyRewards(),getTotalTokens(address)
addRequester(address),getTotalTokens(address)
removeApprover(address),getTotalTokens(address)
addApprover(address),getTotalTokens(address)
"updateRewardRate(address,uint256)",getTotalTokens(address)
"addRewardToken(address,uint256)",addApprover(address)
removeRewardToken(address),addApprover(address)
removeApprover(address),addApprover(address)
destroyRewards(),addApprover(address)
updateReferralBonusRate(uint256),addApprover(address)
transferOwnership(address),addApprover(address)
"addRewardToken(address,uint256)","transferRewards(address,uint256,uint256)"
removeRewardToken(address),"transferRewards(address,uint256,uint256)"
removeApprover(address),"transferRewards(address,uint256,uint256)"
destroyRewards(),"transferRewards(address,uint256,uint256)"
addApprover(address),"transferRewards(address,uint256,uint256)"
"updateRewardRate(address,uint256)","transferRewards(address,uint256,uint256)"
"addRewardToken(address,uint256)",addRequester(address)
removeRewardToken(address),addRequester(address)
removeApprover(address),addRequester(address)
destroyRewards(),addRequester(address)
addApprover(address),addRequester(address)
updateReferralBonusRate(uint256),addRequester(address)
transferOwnership(address),addRequester(address)
removeRequester(address),addRequester(address)
"registerReferral(address,address)",addRequester(address)
"addRewardToken(address,uint256)",updateReferralBonusRate(uint256)
removeRewardToken(address),updateReferralBonusRate(uint256)
removeApprover(address),updateReferralBonusRate(uint256)
destroyRewards(),updateReferralBonusRate(uint256)
addApprover(address),updateReferralBonusRate(uint256)
transferOwnership(address),updateReferralBonusRate(uint256)
"addRewardToken(address,uint256)","updateRewardRate(address,uint256)"
removeRewardToken(address),"updateRewardRate(address,uint256)"
removeApprover(address),"updateRewardRate(address,uint256)"
destroyRewards(),"updateRewardRate(address,uint256)"
addApprover(address),"updateRewardRate(address,uint256)"
updateReferralBonusRate(uint256),"updateRewardRate(address,uint256)"
transferOwnership(address),"updateRewardRate(address,uint256)"
"addRewardToken(address,uint256)",transferOwnership(address)
removeRewardToken(address),transferOwnership(address)
removeApprover(address),transferOwnership(address)
destroyRewards(),transferOwnership(address)
addApprover(address),transferOwnership(address)
updateReferralBonusRate(uint256),transferOwnership(address)
