Source Function,Target Function
"burn(address,uint256)","lockupAccounts(address[],uint256[])"
setDistributeAmount(uint256),"lockupAccounts(address[],uint256[])"
transferOwnership(address),"lockupAccounts(address[],uint256[])"
"distributeToken(address[],uint256[])","lockupAccounts(address[],uint256[])"
"distributeAirdrop(address[],uint256)","lockupAccounts(address[],uint256[])"
"freezeAccounts(address[],bool)","lockupAccounts(address[],uint256[])"
"collectTokens(address[],uint256[])","lockupAccounts(address[],uint256[])"
"transfer(address,uint256,bytes,string)","lockupAccounts(address[],uint256[])"
"lockupAccounts(address[],uint256[])","distributeToken(address[],uint256[])"
"distributeAirdrop(address[],uint256)","distributeToken(address[],uint256[])"
"burn(address,uint256)","distributeToken(address[],uint256[])"
"freezeAccounts(address[],bool)","distributeToken(address[],uint256[])"
"collectTokens(address[],uint256[])","distributeToken(address[],uint256[])"
"transfer(address,uint256,bytes,string)","distributeToken(address[],uint256[])"
"lockupAccounts(address[],uint256[])","distributeAirdrop(address[],uint256)"
"distributeToken(address[],uint256[])","distributeAirdrop(address[],uint256)"
"burn(address,uint256)","distributeAirdrop(address[],uint256)"
"freezeAccounts(address[],bool)","distributeAirdrop(address[],uint256)"
"collectTokens(address[],uint256[])","distributeAirdrop(address[],uint256)"
"transfer(address,uint256,bytes,string)","distributeAirdrop(address[],uint256)"
setDistributeAmount(uint256),"burn(address,uint256)"
transferOwnership(address),"burn(address,uint256)"
"burn(address,uint256)","freezeAccounts(address[],bool)"
setDistributeAmount(uint256),"freezeAccounts(address[],bool)"
transferOwnership(address),"freezeAccounts(address[],bool)"
"burn(address,uint256)",setDistributeAmount(uint256)
transferOwnership(address),setDistributeAmount(uint256)
"burn(address,uint256)","collectTokens(address[],uint256[])"
setDistributeAmount(uint256),"collectTokens(address[],uint256[])"
transferOwnership(address),"collectTokens(address[],uint256[])"
"lockupAccounts(address[],uint256[])","collectTokens(address[],uint256[])"
"distributeToken(address[],uint256[])","collectTokens(address[],uint256[])"
"distributeAirdrop(address[],uint256)","collectTokens(address[],uint256[])"
"freezeAccounts(address[],bool)","collectTokens(address[],uint256[])"
"transfer(address,uint256,bytes,string)","collectTokens(address[],uint256[])"
"burn(address,uint256)",transferOwnership(address)
setDistributeAmount(uint256),transferOwnership(address)
"lockupAccounts(address[],uint256[])","transfer(address,uint256,bytes,string)"
"distributeToken(address[],uint256[])","transfer(address,uint256,bytes,string)"
"distributeAirdrop(address[],uint256)","transfer(address,uint256,bytes,string)"
"burn(address,uint256)","transfer(address,uint256,bytes,string)"
"freezeAccounts(address[],bool)","transfer(address,uint256,bytes,string)"
"collectTokens(address[],uint256[])","transfer(address,uint256,bytes,string)"
