Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"increaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
setNewAdmin(address),"transferFrom(address,address,uint256)"
"setTransferible(address,address,bool)","transferFrom(address,address,uint256)"
"decreaseAllowance(address,uint256)","transferFrom(address,address,uint256)"
"approve(address,uint256)","setTransferible(address,address,bool)"
"transferFrom(address,address,uint256)","setTransferible(address,address,bool)"
"increaseAllowance(address,uint256)","setTransferible(address,address,bool)"
setNewAdmin(address),"setTransferible(address,address,bool)"
"decreaseAllowance(address,uint256)","setTransferible(address,address,bool)"
