Source Function,Target Function
setRegistryExecID(bytes32),"registerAppVersion(bytes32,bytes32,address,bytes4[],address[])"
"configure(address,address,address)","registerAppVersion(bytes32,bytes32,address,bytes4[],address[])"
setAdmin(address),"registerAppVersion(bytes32,bytes32,address,bytes4[],address[])"
"createRegistryInstance(address,address)","registerAppVersion(bytes32,bytes32,address,bytes4[],address[])"
setProvider(address),"registerAppVersion(bytes32,bytes32,address,bytes4[],address[])"
setRegistryExecID(bytes32),"configure(address,address,address)"
setAdmin(address),"configure(address,address,address)"
"createRegistryInstance(address,address)","configure(address,address,address)"
setProvider(address),"configure(address,address,address)"
setRegistryExecID(bytes32),updateAppInstance(bytes32)
"configure(address,address,address)",updateAppInstance(bytes32)
setAdmin(address),updateAppInstance(bytes32)
"createRegistryInstance(address,address)",updateAppInstance(bytes32)
setProvider(address),updateAppInstance(bytes32)
setRegistryExecID(bytes32),"createRegistryInstance(address,address)"
"configure(address,address,address)","createRegistryInstance(address,address)"
setAdmin(address),"createRegistryInstance(address,address)"
setProvider(address),"createRegistryInstance(address,address)"
setRegistryExecID(bytes32),"registerApp(bytes32,address,bytes4[],address[])"
"configure(address,address,address)","registerApp(bytes32,address,bytes4[],address[])"
setAdmin(address),"registerApp(bytes32,address,bytes4[],address[])"
"createRegistryInstance(address,address)","registerApp(bytes32,address,bytes4[],address[])"
setProvider(address),"registerApp(bytes32,address,bytes4[],address[])"
setRegistryExecID(bytes32),getRegistryImplementation()
"configure(address,address,address)",getRegistryImplementation()
setAdmin(address),getRegistryImplementation()
"createRegistryInstance(address,address)",getRegistryImplementation()
setProvider(address),getRegistryImplementation()
setRegistryExecID(bytes32),"createAppInstance(bytes32,bytes)"
"configure(address,address,address)","createAppInstance(bytes32,bytes)"
setAdmin(address),"createAppInstance(bytes32,bytes)"
"createRegistryInstance(address,address)","createAppInstance(bytes32,bytes)"
setProvider(address),"createAppInstance(bytes32,bytes)"
updateAppInstance(bytes32),getInstanceImplementation(bytes32)
"createRegistryInstance(address,address)",getInstanceImplementation(bytes32)
"createAppInstance(bytes32,bytes)",getInstanceImplementation(bytes32)
setRegistryExecID(bytes32),getInstanceImplementation(bytes32)
"configure(address,address,address)",getInstanceImplementation(bytes32)
setAdmin(address),getInstanceImplementation(bytes32)
setProvider(address),getInstanceImplementation(bytes32)
