Source Function,Target Function
"approve(address,uint256)",removeSenderFromWhitelist(address)
addRecipientToWhitelist(address),removeSenderFromWhitelist(address)
addSenderToWhitelist(address),removeSenderFromWhitelist(address)
"mint(address,uint256)",removeSenderFromWhitelist(address)
"decreaseApproval(address,uint256)",removeSenderFromWhitelist(address)
removeRecipientFromWhitelist(address),removeSenderFromWhitelist(address)
"burnFrom(address,uint256)",removeSenderFromWhitelist(address)
"increaseApproval(address,uint256)",removeSenderFromWhitelist(address)
enableFees(),"approve(address,uint256)"
unpause(),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
setFeeBeneficiary(address),"approve(address,uint256)"
setFee(uint256),"approve(address,uint256)"
renounceOwnership(),"approve(address,uint256)"
finishMinting(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
changeWhitelistManager(address),"approve(address,uint256)"
enableWhitelist(),"approve(address,uint256)"
disableFees(),"approve(address,uint256)"
disableWhitelist(),"approve(address,uint256)"
setFeeThreshold(uint256),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
removeSenderFromWhitelist(address),addRecipientToWhitelist(address)
"approve(address,uint256)",addRecipientToWhitelist(address)
addSenderToWhitelist(address),addRecipientToWhitelist(address)
"mint(address,uint256)",addRecipientToWhitelist(address)
"decreaseApproval(address,uint256)",addRecipientToWhitelist(address)
removeRecipientFromWhitelist(address),addRecipientToWhitelist(address)
"burnFrom(address,uint256)",addRecipientToWhitelist(address)
"increaseApproval(address,uint256)",addRecipientToWhitelist(address)
unpause(),enableFees()
"mint(address,uint256)",enableFees()
setFeeBeneficiary(address),enableFees()
setFee(uint256),enableFees()
renounceOwnership(),enableFees()
finishMinting(),enableFees()
pause(),enableFees()
changeWhitelistManager(address),enableFees()
enableWhitelist(),enableFees()
disableFees(),enableFees()
disableWhitelist(),enableFees()
setFeeThreshold(uint256),enableFees()
transferOwnership(address),enableFees()
removeSenderFromWhitelist(address),addSenderToWhitelist(address)
"approve(address,uint256)",addSenderToWhitelist(address)
addRecipientToWhitelist(address),addSenderToWhitelist(address)
"mint(address,uint256)",addSenderToWhitelist(address)
"decreaseApproval(address,uint256)",addSenderToWhitelist(address)
removeRecipientFromWhitelist(address),addSenderToWhitelist(address)
"burnFrom(address,uint256)",addSenderToWhitelist(address)
"increaseApproval(address,uint256)",addSenderToWhitelist(address)
enableFees(),unpause()
"mint(address,uint256)",unpause()
setFeeBeneficiary(address),unpause()
setFee(uint256),unpause()
renounceOwnership(),unpause()
finishMinting(),unpause()
pause(),unpause()
changeWhitelistManager(address),unpause()
enableWhitelist(),unpause()
disableFees(),unpause()
disableWhitelist(),unpause()
setFeeThreshold(uint256),unpause()
transferOwnership(address),unpause()
enableFees(),"mint(address,uint256)"
unpause(),"mint(address,uint256)"
setFeeBeneficiary(address),"mint(address,uint256)"
setFee(uint256),"mint(address,uint256)"
renounceOwnership(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
changeWhitelistManager(address),"mint(address,uint256)"
enableWhitelist(),"mint(address,uint256)"
disableFees(),"mint(address,uint256)"
disableWhitelist(),"mint(address,uint256)"
setFeeThreshold(uint256),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
enableFees(),setFeeBeneficiary(address)
unpause(),setFeeBeneficiary(address)
"mint(address,uint256)",setFeeBeneficiary(address)
setFee(uint256),setFeeBeneficiary(address)
renounceOwnership(),setFeeBeneficiary(address)
finishMinting(),setFeeBeneficiary(address)
pause(),setFeeBeneficiary(address)
changeWhitelistManager(address),setFeeBeneficiary(address)
enableWhitelist(),setFeeBeneficiary(address)
disableFees(),setFeeBeneficiary(address)
disableWhitelist(),setFeeBeneficiary(address)
setFeeThreshold(uint256),setFeeBeneficiary(address)
transferOwnership(address),setFeeBeneficiary(address)
enableFees(),"decreaseApproval(address,uint256)"
unpause(),"decreaseApproval(address,uint256)"
"mint(address,uint256)","decreaseApproval(address,uint256)"
setFeeBeneficiary(address),"decreaseApproval(address,uint256)"
setFee(uint256),"decreaseApproval(address,uint256)"
renounceOwnership(),"decreaseApproval(address,uint256)"
finishMinting(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
changeWhitelistManager(address),"decreaseApproval(address,uint256)"
enableWhitelist(),"decreaseApproval(address,uint256)"
disableFees(),"decreaseApproval(address,uint256)"
disableWhitelist(),"decreaseApproval(address,uint256)"
setFeeThreshold(uint256),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
removeSenderFromWhitelist(address),removeRecipientFromWhitelist(address)
"approve(address,uint256)",removeRecipientFromWhitelist(address)
addRecipientToWhitelist(address),removeRecipientFromWhitelist(address)
addSenderToWhitelist(address),removeRecipientFromWhitelist(address)
"mint(address,uint256)",removeRecipientFromWhitelist(address)
"decreaseApproval(address,uint256)",removeRecipientFromWhitelist(address)
"burnFrom(address,uint256)",removeRecipientFromWhitelist(address)
"increaseApproval(address,uint256)",removeRecipientFromWhitelist(address)
enableFees(),setFee(uint256)
unpause(),setFee(uint256)
"mint(address,uint256)",setFee(uint256)
setFeeBeneficiary(address),setFee(uint256)
renounceOwnership(),setFee(uint256)
finishMinting(),setFee(uint256)
pause(),setFee(uint256)
changeWhitelistManager(address),setFee(uint256)
enableWhitelist(),setFee(uint256)
disableFees(),setFee(uint256)
disableWhitelist(),setFee(uint256)
setFeeThreshold(uint256),setFee(uint256)
transferOwnership(address),setFee(uint256)
enableFees(),renounceOwnership()
unpause(),renounceOwnership()
"mint(address,uint256)",renounceOwnership()
setFeeBeneficiary(address),renounceOwnership()
setFee(uint256),renounceOwnership()
finishMinting(),renounceOwnership()
pause(),renounceOwnership()
changeWhitelistManager(address),renounceOwnership()
enableWhitelist(),renounceOwnership()
disableFees(),renounceOwnership()
disableWhitelist(),renounceOwnership()
setFeeThreshold(uint256),renounceOwnership()
transferOwnership(address),renounceOwnership()
removeSenderFromWhitelist(address),"burnFrom(address,uint256)"
"approve(address,uint256)","burnFrom(address,uint256)"
addRecipientToWhitelist(address),"burnFrom(address,uint256)"
addSenderToWhitelist(address),"burnFrom(address,uint256)"
"mint(address,uint256)","burnFrom(address,uint256)"
"decreaseApproval(address,uint256)","burnFrom(address,uint256)"
removeRecipientFromWhitelist(address),"burnFrom(address,uint256)"
"increaseApproval(address,uint256)","burnFrom(address,uint256)"
enableFees(),finishMinting()
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
setFeeBeneficiary(address),finishMinting()
setFee(uint256),finishMinting()
renounceOwnership(),finishMinting()
pause(),finishMinting()
changeWhitelistManager(address),finishMinting()
enableWhitelist(),finishMinting()
disableFees(),finishMinting()
disableWhitelist(),finishMinting()
setFeeThreshold(uint256),finishMinting()
transferOwnership(address),finishMinting()
enableFees(),pause()
unpause(),pause()
"mint(address,uint256)",pause()
setFeeBeneficiary(address),pause()
setFee(uint256),pause()
renounceOwnership(),pause()
finishMinting(),pause()
changeWhitelistManager(address),pause()
enableWhitelist(),pause()
disableFees(),pause()
disableWhitelist(),pause()
setFeeThreshold(uint256),pause()
transferOwnership(address),pause()
enableFees(),changeWhitelistManager(address)
unpause(),changeWhitelistManager(address)
"mint(address,uint256)",changeWhitelistManager(address)
setFeeBeneficiary(address),changeWhitelistManager(address)
setFee(uint256),changeWhitelistManager(address)
renounceOwnership(),changeWhitelistManager(address)
finishMinting(),changeWhitelistManager(address)
pause(),changeWhitelistManager(address)
enableWhitelist(),changeWhitelistManager(address)
disableFees(),changeWhitelistManager(address)
disableWhitelist(),changeWhitelistManager(address)
setFeeThreshold(uint256),changeWhitelistManager(address)
transferOwnership(address),changeWhitelistManager(address)
enableFees(),enableWhitelist()
unpause(),enableWhitelist()
"mint(address,uint256)",enableWhitelist()
setFeeBeneficiary(address),enableWhitelist()
setFee(uint256),enableWhitelist()
renounceOwnership(),enableWhitelist()
finishMinting(),enableWhitelist()
pause(),enableWhitelist()
changeWhitelistManager(address),enableWhitelist()
disableFees(),enableWhitelist()
disableWhitelist(),enableWhitelist()
setFeeThreshold(uint256),enableWhitelist()
transferOwnership(address),enableWhitelist()
enableFees(),disableFees()
unpause(),disableFees()
"mint(address,uint256)",disableFees()
setFeeBeneficiary(address),disableFees()
setFee(uint256),disableFees()
renounceOwnership(),disableFees()
finishMinting(),disableFees()
pause(),disableFees()
changeWhitelistManager(address),disableFees()
enableWhitelist(),disableFees()
disableWhitelist(),disableFees()
setFeeThreshold(uint256),disableFees()
transferOwnership(address),disableFees()
enableFees(),disableWhitelist()
unpause(),disableWhitelist()
"mint(address,uint256)",disableWhitelist()
setFeeBeneficiary(address),disableWhitelist()
setFee(uint256),disableWhitelist()
renounceOwnership(),disableWhitelist()
finishMinting(),disableWhitelist()
pause(),disableWhitelist()
changeWhitelistManager(address),disableWhitelist()
enableWhitelist(),disableWhitelist()
disableFees(),disableWhitelist()
setFeeThreshold(uint256),disableWhitelist()
transferOwnership(address),disableWhitelist()
enableFees(),"increaseApproval(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
"mint(address,uint256)","increaseApproval(address,uint256)"
setFeeBeneficiary(address),"increaseApproval(address,uint256)"
setFee(uint256),"increaseApproval(address,uint256)"
renounceOwnership(),"increaseApproval(address,uint256)"
finishMinting(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
changeWhitelistManager(address),"increaseApproval(address,uint256)"
enableWhitelist(),"increaseApproval(address,uint256)"
disableFees(),"increaseApproval(address,uint256)"
disableWhitelist(),"increaseApproval(address,uint256)"
setFeeThreshold(uint256),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
enableFees(),setFeeThreshold(uint256)
unpause(),setFeeThreshold(uint256)
"mint(address,uint256)",setFeeThreshold(uint256)
setFeeBeneficiary(address),setFeeThreshold(uint256)
setFee(uint256),setFeeThreshold(uint256)
renounceOwnership(),setFeeThreshold(uint256)
finishMinting(),setFeeThreshold(uint256)
pause(),setFeeThreshold(uint256)
changeWhitelistManager(address),setFeeThreshold(uint256)
enableWhitelist(),setFeeThreshold(uint256)
disableFees(),setFeeThreshold(uint256)
disableWhitelist(),setFeeThreshold(uint256)
transferOwnership(address),setFeeThreshold(uint256)
enableFees(),transferOwnership(address)
unpause(),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
setFeeBeneficiary(address),transferOwnership(address)
setFee(uint256),transferOwnership(address)
renounceOwnership(),transferOwnership(address)
finishMinting(),transferOwnership(address)
pause(),transferOwnership(address)
changeWhitelistManager(address),transferOwnership(address)
enableWhitelist(),transferOwnership(address)
disableFees(),transferOwnership(address)
disableWhitelist(),transferOwnership(address)
setFeeThreshold(uint256),transferOwnership(address)
