Source Function,Target Function
unpause(),"setPrices(uint256,uint256)"
"mint(address,uint256)","setPrices(uint256,uint256)"
burn(uint256),"setPrices(uint256,uint256)"
allowtransferaddress(address),"setPrices(uint256,uint256)"
finishMinting(),"setPrices(uint256,uint256)"
pause(),"setPrices(uint256,uint256)"
transferOwnership(address),"setPrices(uint256,uint256)"
"setPrices(uint256,uint256)",unpause()
"mint(address,uint256)",unpause()
burn(uint256),unpause()
allowtransferaddress(address),unpause()
finishMinting(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
"setPrices(uint256,uint256)","mint(address,uint256)"
unpause(),"mint(address,uint256)"
burn(uint256),"mint(address,uint256)"
allowtransferaddress(address),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"setPrices(uint256,uint256)",allowtransferaddress(address)
unpause(),allowtransferaddress(address)
"mint(address,uint256)",allowtransferaddress(address)
burn(uint256),allowtransferaddress(address)
finishMinting(),allowtransferaddress(address)
pause(),allowtransferaddress(address)
transferOwnership(address),allowtransferaddress(address)
"setPrices(uint256,uint256)",finishMinting()
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
burn(uint256),finishMinting()
allowtransferaddress(address),finishMinting()
pause(),finishMinting()
transferOwnership(address),finishMinting()
"setPrices(uint256,uint256)",pause()
unpause(),pause()
"mint(address,uint256)",pause()
burn(uint256),pause()
allowtransferaddress(address),pause()
finishMinting(),pause()
transferOwnership(address),pause()
"setPrices(uint256,uint256)","freezeAccount(address,bool)"
unpause(),"freezeAccount(address,bool)"
"mint(address,uint256)","freezeAccount(address,bool)"
burn(uint256),"freezeAccount(address,bool)"
allowtransferaddress(address),"freezeAccount(address,bool)"
finishMinting(),"freezeAccount(address,bool)"
pause(),"freezeAccount(address,bool)"
transferOwnership(address),"freezeAccount(address,bool)"
"setPrices(uint256,uint256)",transferOwnership(address)
unpause(),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
burn(uint256),transferOwnership(address)
allowtransferaddress(address),transferOwnership(address)
finishMinting(),transferOwnership(address)
pause(),transferOwnership(address)
