Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"createNewUser(string,string)","transferFrom(address,address,uint256)"
resetQuote(),"transferFrom(address,address,uint256)"
resetUserPicture(string),"transferFrom(address,address,uint256)"
"approveAndCall(address,uint256,bytes)","transferFrom(address,address,uint256)"
resetUsername(string),"transferFrom(address,address,uint256)"
triggerPayout(),resetQuote()
"createNewUser(string,string)",resetQuote()
requestPayout(),resetQuote()
delayPayout(),resetQuote()
brag(),resetQuote()
triggerPayout(),resetUserPicture(string)
"createNewUser(string,string)",resetUserPicture(string)
requestPayout(),resetUserPicture(string)
delayPayout(),resetUserPicture(string)
brag(),resetUserPicture(string)
"approve(address,uint256)",setTheKingsQuote(string)
"transferFrom(address,address,uint256)",setTheKingsQuote(string)
"createNewUser(string,string)",setTheKingsQuote(string)
resetQuote(),setTheKingsQuote(string)
resetUserPicture(string),setTheKingsQuote(string)
"approveAndCall(address,uint256,bytes)",setTheKingsQuote(string)
resetUsername(string),setTheKingsQuote(string)
brag(),setTheKingsQuote(string)
triggerPayout(),reset()
"createNewUser(string,string)",reset()
requestPayout(),reset()
delayPayout(),reset()
brag(),reset()
"createNewUser(string,string)",brag()
resetQuote(),brag()
resetUserPicture(string),brag()
setTheKingsQuote(string),brag()
resetUsername(string),brag()
triggerPayout(),resetUsername(string)
"createNewUser(string,string)",resetUsername(string)
requestPayout(),resetUsername(string)
delayPayout(),resetUsername(string)
brag(),resetUsername(string)
