Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"airdropToAddresses(address[],uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
addAddressToAdminlist(address),"transferFrom(address,address,uint256)"
removeAddressFromAdminlist(address),"transferFrom(address,address,uint256)"
pause(),unpause()
transferOwnership(address),unpause()
"approve(address,uint256)","airdropToAddresses(address[],uint256)"
"transferFrom(address,address,uint256)","airdropToAddresses(address[],uint256)"
"transfer(address,uint256)","airdropToAddresses(address[],uint256)"
addAddressToAdminlist(address),"airdropToAddresses(address[],uint256)"
removeAddressFromAdminlist(address),"airdropToAddresses(address[],uint256)"
unpause(),pause()
transferOwnership(address),pause()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"airdropToAddresses(address[],uint256)","transfer(address,uint256)"
addAddressToAdminlist(address),"transfer(address,uint256)"
removeAddressFromAdminlist(address),"transfer(address,uint256)"
unpause(),addAddressToAdminlist(address)
pause(),addAddressToAdminlist(address)
transferOwnership(address),addAddressToAdminlist(address)
unpause(),removeAddressFromAdminlist(address)
pause(),removeAddressFromAdminlist(address)
transferOwnership(address),removeAddressFromAdminlist(address)
unpause(),transferOwnership(address)
pause(),transferOwnership(address)
