Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"mint(address,uint256)",setShouldBlockPublicTrade(bool)
renounceOwnership(),setShouldBlockPublicTrade(bool)
finishMinting(),setShouldBlockPublicTrade(bool)
setOperator(address),setShouldBlockPublicTrade(bool)
setGameOperator(address),setShouldBlockPublicTrade(bool)
transferOwnership(address),setShouldBlockPublicTrade(bool)
setShouldBlockPublicTrade(bool),"mint(address,uint256)"
renounceOwnership(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
setOperator(address),"mint(address,uint256)"
setGameOperator(address),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
setShouldBlockPublicTrade(bool),renounceOwnership()
"mint(address,uint256)",renounceOwnership()
finishMinting(),renounceOwnership()
setOperator(address),renounceOwnership()
setGameOperator(address),renounceOwnership()
transferOwnership(address),renounceOwnership()
setShouldBlockPublicTrade(bool),finishMinting()
"mint(address,uint256)",finishMinting()
renounceOwnership(),finishMinting()
setOperator(address),finishMinting()
setGameOperator(address),finishMinting()
transferOwnership(address),finishMinting()
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
"decreaseApproval(address,uint256)","transfer(address,uint256)"
"increaseApproval(address,uint256)","transfer(address,uint256)"
setShouldBlockPublicTrade(bool),setOperator(address)
"mint(address,uint256)",setOperator(address)
renounceOwnership(),setOperator(address)
finishMinting(),setOperator(address)
setGameOperator(address),setOperator(address)
transferOwnership(address),setOperator(address)
setShouldBlockPublicTrade(bool),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
renounceOwnership(),transferOwnership(address)
finishMinting(),transferOwnership(address)
setOperator(address),transferOwnership(address)
setGameOperator(address),transferOwnership(address)
