Source Function,Target Function
setAdmin(address),registerByList(address[])
unregisterByList(address[]),registerByList(address[])
unregister(address),registerByList(address[])
register(address),registerByList(address[])
transferOwnership(address),setAdmin(address)
transferOwnership(address),claimTokens(address)
registerByList(address[]),unregisterByList(address[])
setAdmin(address),unregisterByList(address[])
unregister(address),unregisterByList(address[])
register(address),unregisterByList(address[])
registerByList(address[]),unregister(address)
setAdmin(address),unregister(address)
unregisterByList(address[]),unregister(address)
register(address),unregister(address)
registerByList(address[]),register(address)
setAdmin(address),register(address)
unregisterByList(address[]),register(address)
unregister(address),register(address)
